sample,uni_reads,dup_reads
ST2AC10F_2-2314431_S35_L001_R1_001,29461180,2777874
ST2AC10F_2-2314431_S35_L001_R2_001,29335478,2903576
ST2AC10M_2-2314436_S40_L001_R1_001,53837482,6209866
ST2AC10M_2-2314436_S40_L001_R2_001,53603097,6444251
ST2AC11F_2-2314420_S24_L001_R1_001,47118933,4816089
ST2AC11F_2-2314420_S24_L001_R2_001,46955883,4979139
ST2AC11M_2-2314349_S3_L001_R1_001,31882364,3408528
ST2AC11M_2-2314349_S3_L001_R2_001,31721413,3569479
ST2AC13F_2-2314417_S21_L001_R1_001,34337465,3461946
ST2AC13F_2-2314417_S21_L001_R2_001,34217196,3582215
ST2AC13M_2-2314406_S10_L001_R1_001,45800658,5197582
ST2AC13M_2-2314406_S10_L001_R2_001,45657000,5341240
ST2AC14F_2-2314419_S23_L001_R1_001,25602872,2145600
ST2AC14F_2-2314419_S23_L001_R2_001,25494727,2253745
ST2AC14M_2-2314414_S18_L001_R1_001,36943111,3556805
ST2AC14M_2-2314414_S18_L001_R2_001,36762189,3737727
ST2AC15F_2-2314409_S13_L001_R1_001,39892474,4120130
ST2AC15F_2-2314409_S13_L001_R2_001,39685886,4326718
ST2AC15M_2-2314350_S4_L001_R1_001,39207342,4026092
ST2AC15M_2-2314350_S4_L001_R2_001,39047988,4185446
ST2AC16F_2-2314411_S15_L001_R1_001,33093936,3317433
ST2AC16F_2-2314411_S15_L001_R2_001,32963106,3448263
ST2AC16M_2-2314421_S25_L001_R1_001,37527589,3829968
ST2AC16M_2-2314421_S25_L001_R2_001,37419375,3938182
ST2AC1F_2-2314440_S44_L001_R1_001,30102026,2807046
ST2AC1F_2-2314440_S44_L001_R2_001,29980238,2928834
ST2AC1M_2-2314450_S54_L001_R1_001,33864582,3166194
ST2AC1M_2-2314450_S54_L001_R2_001,33770768,3260008
ST2AC2F_2-2314446_S50_L001_R1_001,38813644,3919795
ST2AC2F_2-2314446_S50_L001_R2_001,38605517,4127922
ST2AC2M_2-2314505_S59_L001_R1_001,30633794,2935184
ST2AC2M_2-2314505_S59_L001_R2_001,30520563,3048415
