ID,cue,sex,tank,dist_cm,frozen_s,shelt_s,shelter_lat_s,outer_s,time
AC2F4,ac,f,AC2,217.994,141.732,81.4992,120.032,88.5658,PM
AC2F5,ac,f,AC2,358.197,117.583,1.43435,298.445,76.8545,PM
AC2F6,ac,f,AC2,395.381,101.935,34.4007,120.002,130.469,PM
AC2F7,ac,f,AC2,522.797,93.7714,49.2025,123.139,118.106,PM
AC3F1,ac,f,AC3,448.511,96.4798,43.4326,126.759,111.269,AM
AC3F2,ac,f,AC3,318.478,105.482,77.3332,124.258,86.9043,AM
AC3M1,ac,m,AC3,762.394,38.5996,54.1995,125.399,93.7991,AM
AC3M2,ac,m,AC3,409.209,103.766,64.9993,120.032,103.599,PM
AC4F1,ac,f,AC4,454.468,94.7657,27.9664,174.998,118.499,AM
AC4F2,ac,f,AC4,16.6952,180.032,0,-,30.933,AM
AC4F3,ac,f,AC4,354.551,97.899,16.1665,136.599,152.598,PM
AC4F4,ac,f,AC4,458.399,95.9324,33.3663,136.032,123.799,PM
AC4F5,ac,f,AC4,39.3612,177.865,99.4657,120.865,21.4665,PM
AC4M1,ac,m,AC4,178.968,114.832,4.09996,133.965,0,PM
AC5F1,ac,f,AC5,342.966,104.966,55.4661,122.665,103.632,AM
AC5F2,ac,f,AC5,368.25,108.232,72.3993,138.965,95.6324,AM
AC5F3,ac,f,AC5,273.2,129.265,68.4993,125.399,72.2659,AM
AC5F4,ac,f,AC5,450.714,87.0991,19.4998,210.031,144.799,PM
AC5F5,ac,f,AC5,410.783,107.632,33.2997,191.465,92.0657,PM
AC5M1,ac,m,AC5,472.875,70.8993,45.7662,130.232,121.499,AM
AC5M2,ac,m,AC5,626.47,73.7326,51.3328,120.032,115.599,AM
AC5M3,ac,m,AC5,289.061,123.332,12.2665,171.332,130.532,PM
AC5M4,ac,m,AC5,807.588,34.7663,18.2332,127.465,146.032,PM
AC6F1,ac,f,AC6,341.113,104.066,46.7995,122.765,0,AM
AC6F2,ac,f,AC6,416.287,94.5742,41.0033,140.678,133.911,AM
AC6F3,ac,f,AC6,684.312,71.566,61.0661,120.132,98.3657,PM
AC6M1,ac,m,AC6,507.667,67.9054,15.9679,245.786,143.678,AM
AC6M2,ac,m,AC6,937.148,38.8329,53.0995,120.032,113.566,AM
AC6M3,ac,m,AC6,361.269,102.899,5.56661,287.63,146.399,PM
AC7F1,ac,f,AC7,324.941,112.132,47.6662,132.365,0,AM
AC7F2,ac,f,AC7,150.175,148.499,87.3325,141.165,84.9325,AM
AC7F3,ac,f,AC7,356.436,102.166,59.3994,120.032,112.566,AM
AC7F4,ac,f,AC7,347.561,106.132,37.633,188.898,127.365,PM
AC7F5,ac,f,AC7,437.137,80.5398,22.4351,128.244,132.244,PM
AC7F6,ac,f,AC7,137.923,157.998,0,-,110.189,PM
AC7M1,ac,m,AC7,458.408,71.2326,61.4661,127.365,102.766,AM
AC7M2,ac,m,AC7,409.096,79.3659,16.7665,124.765,135.565,AM
AC7M3,ac,m,AC7,885.922,56.5661,59.8661,125.965,93.6657,AM
C2F1,c,f,C2,306.383,127.599,47.8995,120.032,96.199,AM
C2F2,c,f,C2,198.416,141.799,67.2327,120.032,0,AM
C2M1,c,m,C2,555.809,90.0991,74.3993,120.032,101.432,AM
C2M2,c,m,C2,404.64,86.5991,32.1997,160.032,141.265,PM
C3F1,c,f,C3,320.79,114.799,39.1663,134.365,135.599,AM
C3F2,c,f,C3,431.258,96.5657,34.6997,120.032,131.999,PM
C3F3,c,f,C3,361.724,98.299,13.8999,226.698,116.032,PM
C3M1,c,m,C3,446.445,96.7324,15.3665,139.499,146.365,AM
C3M2,c,m,C3,615.154,69.6722,62.4717,132.511,109.742,AM
C3M3,c,m,C3,567.803,74.0659,46.6662,133.732,130.232,PM
C3M4,c,m,C3,515.596,87.7658,50.7662,120.032,126.232,PM
C4F1,c,f,C4,489.513,80.7992,9.73324,210.531,87.1325,AM
C4F2,c,f,C4,569.163,65.3327,47.9329,120.032,0,AM
C4F3,c,f,C4,637.324,61.2661,48.6328,123.265,121.999,PM
C4F4,c,f,C4,617.758,73.6993,43.5996,122.332,121.665,PM
C4F5,c,f,C4,721.631,54.6661,59.2994,123.865,95.2657,PM
C4M1,c,m,C4,711.309,53.5328,51.1662,158.998,127.899,AM
C4M2,c,m,C4,676.742,64.1994,75.6992,120.199,91.1324,AM
C4M3,c,m,C4,692.457,73.8659,70.8993,120.032,99.2323,PM
C5F1,c,f,C5,352.073,106.932,56.9661,120.032,121.165,AM
C5F2,c,f,C5,443.96,90.0513,76.3486,120.024,90.2514,AM
C5F3,c,f,C5,544.769,77.9992,64.666,120.032,111.966,AM
C5F4,c,f,C5,215.368,140.945,35.6695,128.277,121.31,AM
C5F5,c,f,C5,0.168046,180.032,180.032,120.032,0,PM
C5M1,c,m,C5,879.348,28.8997,9.16657,124.899,163.132,AM
C5M2,c,m,C5,405.564,92.8324,43.4662,137.465,114.232,AM
C5M3,c,m,C5,568.407,61.8327,51.2328,136.999,104.599,PM
C6F1,c,f,C6,0.270985,180.032,180.032,120.032,0,AM
C6F2,c,f,C6,339.174,105.199,6.69993,238.031,171.432,AM
C6F3,c,f,C6,270.33,127.365,23.3998,159.532,0,PM
C6F4,c,f,C6,262.895,129.132,79.4659,145.932,100.032,PM
C6M1,c,m,C6,563.684,65.666,34.033,120.032,128.832,AM
C6M2,c,m,C6,415.474,20.1998,11.1666,121.699,91.7991,AM
C6M3,c,m,C6,782.764,37.5663,34.9663,120.032,115.766,AM
C6M4,c,m,C6,291.597,111.532,22.0664,138.765,145.065,AM
C7F1,c,f,C7,466.775,85.3658,31.9997,127.699,0,AM
C7F2,c,f,C7,382.988,104.566,87.9658,124.032,83.8658,AM
C7F3,c,f,C7,643.976,58.1661,11.6665,200.198,168.698,PM
C7M1,c,m,C7,810.654,41.7996,17.8665,194.831,157.865,AM
C7M2,c,m,C7,591.751,73.9659,41.7329,120.032,131.432,AM
C7M3,c,m,C7,534.036,77.9326,37.4996,129.899,134.899,AM
C7M4,c,m,C7,398.23,87.6821,32.6554,125.446,127.316,PM
C7M5,c,m,C7,586.144,63.6994,21.1998,122.832,150.032,PM
