fish_ID,sex,time,cue,tank,length_obs_s,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb
ST2AC10F,female,before,alarm,ST2AC10,115.66,NA,NA,NA,0,0,21.003,14.745000000000001,29.158,4.915,16.804000000000002,28.5,0
ST2AC10M,male,before,alarm,ST2AC10,115.66,5.252,3,18.75,0,0,8.249,9.293999999999999,9.248000000000001,2.746,42.851,42.491,0
ST2AC11F,female,before,alarm,ST2AC11,116.66,NA,NA,NA,73.492,0,0,0,2.501,0,74.82,38.82,0
ST2AC11M,male,before,alarm,ST2AC11,116.66,28.658,8,28.735,0,0,8.491,0,14.248999999999999,0,56.82,36.574999999999996,0
ST2AC13F,female,before,alarm,ST2AC13,112.08000000000001,NA,NA,NA,8.25,0,0,0,0,0,97.539,13.747,0
ST2AC13M,male,before,alarm,ST2AC13,112.08000000000001,17.493000000000002,5,21.003,8.501000000000001,0,0,0,0,0,84.044,27.247,0
ST2AC14F,female,before,alarm,ST2AC14,117.02,NA,NA,NA,21.248,0,3.998,5.248,2.374,2.996,4.248,39.151,0
ST2AC14M,male,before,alarm,ST2AC14,117.02,21.498,5,25.36,0,0,7.74,4.496,23.486,17.668,44.609,17.249,0
ST2AC15F,female,before,alarm,ST2AC15,116.7,NA,NA,NA,1.004,0,40.626999999999995,2.749,28.877,9.407,23.136,11.229,0
ST2AC15M,male,before,alarm,ST2AC15,116.7,0,0,1.748,0,0,85.412,27.613,2.998,0,0,0,0
ST2AC16F,female,before,alarm,ST2AC16,116.66,NA,NA,NA,0,0,18.996000000000002,0,36.235,0,58.121,2.747,0
ST2AC16M,male,before,alarm,ST2AC16,116.66,3.751,2,15.764,1.745,0,16.546999999999997,0,35.102,0,64.445,0,0
ST2AC1F,female,before,alarm,ST2AC1,116.66,NA,NA,NA,2.996,0.996,31.93,15.24,6.245,15.498000000000001,16.253,30.964,0
ST2AC1M,male,before,alarm,ST2AC1,116.66,14.247,4,50.924,0.75,0,6.25,5.993,15.957,17.494,23.496,46.713,0
ST2AC2F,female,before,alarm,ST2AC2,116.66,NA,NA,NA,2.002,0,0,31.235,0,48.510000000000005,0,36.358,0
ST2AC2M,male,before,alarm,ST2AC2,116.66,0,0,60.842,0,0,0,43.485,0,48.197,0,24.228,0
ST2AC3F,female,before,alarm,ST2AC3,116.66,NA,NA,NA,14.672,0,31.163000000000004,0,20.389000000000003,0,64.55199999999999,0,0
ST2AC3M,male,before,alarm,ST2AC3,116.66,9.004,4,66.911,0,0,32.961,4.501,21.23,0.75,54.894999999999996,0.995,1
ST2AC4F,female,before,alarm,ST2AC4,116.66,NA,NA,NA,11.75,0,37.921,11.504,6.747999999999999,2,40.724000000000004,17.247,0
ST2AC4M,male,before,alarm,ST2AC4,116.66,1.002,1,0,19.668,0,0,42.82,0,31.990000000000002,2.751,38.575,0
ST2AC5F,female,before,alarm,ST2AC5,116.66,NA,NA,NA,0,0,1.25,0.75,24.018,10.996,69.884,8.997,1
ST2AC5M,male,before,alarm,ST2AC5,116.66,0,0,40.184,3.002,0,3.994,0.498,17.959,18.25,49.418000000000006,25.740000000000002,0
