ID,in_L_s,in_L_nb,in_R_s,in_R_nb,nr_L_s,nr_L_nb,nr_R_s,nr_R_nb,far_L_s,far_L_nb,far_R_s,far_R_nb,peck_L_nb,peck_R_nb,lat_in_L,lat_in_R,lat_nr_L,lat_nr_R,lat_far_L,lat_far_R,cue,sex,tank,dem_feeder,in_dem_s,in_dem_lat_s,in_nondem_s,in_nondem_lat_s,nr_dem_s,nr_dem_lat_s,nr_nondem_s,nr_nondem_lat_s,far_dem_s,far_dem_lat_s,far_nondem_s,far_nondem_lat_s,time
AC2F4,256.243,8,8.744,4,28.498,11,3.734,7,13.449,9,9.502,5,0,0,172.56,62.56400000000002,172.062,62.56299999999999,171.06099999999998,61.56200000000001,ac,f,AC2,hor,8.744,62.56400000000002,256.243,172.56,3.734,62.56299999999999,28.498,172.062,9.502,61.56200000000001,13.449,171.06099999999998,PM
AC2F6,38.302,9,41.241,10,28.741999999999997,14,41.989000000000004,14,17.772,12,8.257,7,1,0,1.561,15.556000000000001,1.0589999999999993,14.306000000000001,0.054999999999999716,13.305,ac,f,AC2,hor,41.241,15.556000000000001,38.302,1.561,41.989000000000004,14.306000000000001,28.741999999999997,1.0589999999999993,8.257,13.305,17.772,0.054999999999999716,PM
AC2F7,0,0,247.375,7,0,0,47.120999999999995,9,0,0,7.74,4,0,0,600,106.309,600,106.055,600,105.31,ac,f,AC2,ver,0,600,247.375,106.309,0,600,47.120999999999995,106.055,0,600,7.74,105.31,PM
AC3F1,67.502,1,90.246,5,3.495,2,261.993,6,2.249,2,30.002,3,4,1,125.84100000000001,224.34400000000005,123.84500000000003,223.84400000000005,122.59299999999996,222.59299999999996,ac,f,AC3,ver,67.502,125.84100000000001,90.246,224.34400000000005,3.495,123.84500000000003,261.993,223.84400000000005,2.249,122.59299999999996,30.002,222.59299999999996,AM
AC3F2,0,0,7.75,2,0.753,1,11.498,6,8.489,5,17.233999999999998,9,0,0,600,343.34400000000005,171.65700000000004,343,170.664,230.66200000000003,ac,f,AC3,hor,7.75,343.34400000000005,0,600,11.498,343,0.753,171.65700000000004,17.233999999999998,230.66200000000003,8.489,170.664,AM
AC3M1,34.998,17,13.258,8,23.219,29,18.969,18,24.185,28,15.995,21,0,0,85.90499999999997,124.40800000000002,85.15700000000004,72.16200000000003,31.654999999999973,70.90800000000002,ac,m,AC3,ver,34.998,85.90499999999997,13.258,124.40800000000002,23.219,85.15700000000004,18.969,72.16200000000003,24.185,31.654999999999973,15.995,70.90800000000002,AM
AC3M2,16.751,2,95.16499999999999,12,7.744,5,172.47,21,7.746,6,80.23,17,0,0,209.65700000000004,77.65999999999997,140.15999999999997,73.66300000000001,138.65800000000002,72.65899999999999,ac,m,AC3,hor,95.16499999999999,77.65999999999997,16.751,209.65700000000004,172.47,73.66300000000001,7.744,140.15999999999997,80.23,72.65899999999999,7.746,138.65800000000002,PM
AC4F1,16.241,4,172.499,12,12.898,8,62.989000000000004,19,12.251,7,26.219,17,0,0,254.163,46.15499999999997,253.664,45.65700000000004,253.15999999999997,45.15899999999999,ac,f,AC4,hor,172.499,46.15499999999997,16.241,254.163,62.989000000000004,45.65700000000004,12.898,253.664,26.219,45.15899999999999,12.251,253.15999999999997,AM
AC4F2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,600,600,600,600,600,ac,f,AC4,ver,0,600,0,600,0,600,0,600,0,600,0,600,AM
AC4F3,24.488,8,8.747,3,66.004,27,27.49,10,57.217999999999996,35,15.993,14,0,0,68.15800000000002,24.662000000000035,67.40599999999995,23.158000000000015,65.15700000000004,21.908000000000015,ac,f,AC4,hor,8.747,24.662000000000035,24.488,68.15800000000002,27.49,23.158000000000015,66.004,67.40599999999995,15.993,21.908000000000015,57.217999999999996,65.15700000000004,PM
