ID,cue,sex,tank,dist_cm,veloc_cms,moving_s,frozen_s,avgdistshelt_cm,maxdistshelt_cm,time_shelter_s,lat_shelter_s,per_shelt,time_outer_s,lat_outer_s,per_outer,PC1,PC2,PC3,weight_g,sl_cm,tl_cm
AC2F4,ac,f,AC2,453.105,2.43128,90.3991,95.9657,10.1951,19.7857,113.666,27.1331,37.8805,162.898,0,54.2879,0.11911458056171147,-0.9612976377281505,0.7688264091316636,0.08,1.41,1.9
AC2F5,ac,f,AC2,364.175,1.21969,61.01,237.569,7.82407,19.5032,1.43435,298.445,0.478043,76.8545,194.305,25.6142,-2.6825788616065345,-0.08869262702069325,-1.1865766286020012,0.08,1.42,1.8
AC2F6,ac,f,AC2,367.86,2.50638,77.2349,69.5347,11.5346,19.9606,153.27,0,51.0832,131.203,117.169,43.7285,0.5078100624383737,-1.9541337151385165,0.9192988416583501,0.1,1.61,2.09
AC2F7,ac,f,AC2,747.484,3.4556,131.073,85.2376,10.4317,19.8655,83.7042,50.4692,27.8969,184.609,0.13334,61.5265,0.6289210798455422,0.03446440997953748,0.3036928739925484,0.08,1.55,1.9
AC3F1,ac,f,AC3,699.869,3.03917,132.067,98.2157,9.84527,19.923,69.7392,21.9333,23.2421,165.618,11.4173,55.1958,0.25376024176962847,0.005979498271836924,0.021660001321315937,0.17,1.82,2.39
AC3F2,ac,f,AC3,493.231,2.77933,123.161,54.3027,8.51147,19.2955,122.43,0.166165,40.8019,132.367,10.1028,44.1134,0.7119696361982422,-1.3840369000041375,0.4619777592373637,0.19,2.07,2.59
AC3M1,ac,m,AC3,1118.81,4.75287,211.198,24.1998,10.7803,20.033,64.7994,51.9995,21.5712,173.198,6.59993,57.6565,1.9180286288571435,0.5881949239702355,-0.5267582415257065,0.08,1.45,1.78
AC3M2,ac,m,AC3,658.418,3.11263,133.832,77.7659,9.5036,20.0355,88.4324,12.7999,29.4712,170.165,9.03324,56.7096,0.5605450368916906,-0.3024651664474528,0.3178447309861884,0.04,1.41,1.91
AC4F1,ac,f,AC4,435.309,1.60002,77.6992,194.365,8.2625,18.8631,27.9664,174.998,9.32015,231.798,0,77.2495,-1.6021235364371198,0.9852006803065467,0.7284831889106147,0.07,1.58,1.89
AC4F2,ac,f,AC4,27.1764,0.0905788,0,300.03,6.37705,7.06068,0,NA,0,123.365,0,41.1131,-4.01454464650961,0.0012064597670242705,-0.20253586970984877,0.12,1.69,2.37
AC4F3,ac,f,AC4,663.64,2.48681,144.399,122.465,14.4094,19.4176,33.1663,51.5995,11.0531,242.664,0,80.8709,-0.2493411522648199,1.1948035628427907,0.5912900395869027,0.12,1.83,2.42
AC4F4,ac,f,AC4,550.44,2.08819,97.9657,165.632,8.98643,19.3666,36.433,116.199,12.1417,158.532,71.0326,52.8327,-1.0891193550493616,0.30939853380739263,-0.17866868568142832,0.12,1.66,2.2
AC4F5,ac,f,AC4,94.8136,0.492714,9.56657,182.865,2.0495,9.01519,107.599,27.0664,35.8587,59.7661,64.1994,19.9178,-1.8087829360488505,-2.1562013143643566,0.03889629053941235,0.07,1.5,1.93
AC4M1,ac,m,AC4,299.834,1.17938,44.4329,210.131,12.4259,19.4071,11.7665,104.099,3.92135,0,NA,0,-2.519391249499094,-1.0751900602829996,-1.854721445209703,0.05,1.46,2.19
AC5F1,ac,f,AC5,506.084,2.11252,116.499,123.065,8.70042,18.7228,60.4661,58.8661,20.1511,163.032,32.8997,54.3324,-0.48415245670814144,-0.11962697798259841,0.17934997600351965,0.17,2.22,2.79
AC5F2,ac,f,AC5,629.428,3.01165,128.332,80.6659,8.59672,19.1476,91.0324,56.9994,30.3377,174.765,2.96664,58.2426,0.4959894313343962,-0.33062165704230306,0.4359293387616431,0.1,1.19,NA
AC5F3,ac,f,AC5,499.835,2.20259,111.966,114.966,7.48715,19.0116,73.0993,99.1323,24.3613,150.698,5.19995,50.2222,-0.3276378954475908,-0.4261190098353141,0.17146489163221498,0.05,1.5,2.01
AC5F4,ac,f,AC5,495.181,1.76516,99.9657,180.565,11.3313,19.0651,19.4998,210.031,6.49856,196.065,53.0661,65.341,-1.4370868640134304,0.8294774379267762,0.1611231451629667,0.16,2.05,2.28
AC5F5,ac,f,AC5,394.698,1.47976,70.966,195.765,6.92266,19.5058,33.2997,191.465,11.0975,92.0657,151.065,30.6821,-1.871929137853809,-0.4163050454123429,-0.7428468190762676,0.17,1.79,2.23
AC5F6,ac,f,AC5,271.199,1.16279,44.5996,188.631,8.6125,19.0015,66.7993,228.631,22.2617,129.265,44.4329,43.0793,-1.72619362819096,-0.7143429831442707,0.17853238537403,0.04,1.21,1.55
AC5M1,ac,m,AC5,820.677,3.36945,190.031,53.5328,9.0165400000000009,19.6625,56.4661,28.3331,18.818,215.298,0,71.7507,1.0023491997419047,0.7183007585478968,0.2963908683403681,0.08,1.45,1.9
AC5M2,ac,m,AC5,1023.01,4.39946,173.432,59.0994,11.8652,19.8021,67.4993,22.1998,22.495,187.265,19.1331,62.4084,1.3568022631031085,0.614652826475768,-0.21380480982193023,0.09,1.69,2.25
