ID,cue,sex,tank,shoal_side,int_L_s,int_L_lat_s,int_R_s,int_R_lat_s,tight_L_s,tight_L_lat_s,tight_R_s,tight_r_lat_s,lse_L_s,lse_L_lat_s,lse_R_s,lse_R_lat_s,int_shoal_s,int_shoal_lat_s,int_emp_s,int_emp_lat_s,tight_shoal_s,tight_shoal_lat_s,tight_emp_s,tight_emp_lat_s,lse_shoal_s,lse_shoal_lat_s,lse_emp_s,lse_emp_lat_s,int_diff_s,int_lat_diff_s,tight_diff_s,tight_lat_diff_s,lse_diff_s,lse_lat_diff_s
AC2F4,ac,f,AC2,left,0,300,211.865,7.21329,0,300,52.3479,3.2975,0,300,16.6936,86.5595,211.865,7.21329,0,300,52.3479,3.2975,0,300,16.6936,86.5595,0,300,211.865,292.78671,52.3479,296.7025,16.6936,213.4405
AC2F5,ac,f,AC2,left,0,300,226.636,3.42006,0,300,26.1879,2.31261,1.66117,248.329,13.2894,52.8969,226.636,3.42006,0,300,26.1879,2.31261,0,300,13.2894,52.8969,1.66117,248.329,226.636,296.57994,26.1879,297.68739,11.62823,195.4321
AC3F1,ac,f,AC3,left,26.5331,11.4332,88.0991,94.5991,19.3331,10.3999,23.1664,93.3991,24.6331,9.13324,20.9331,91.4658,88.0991,94.5991,26.5331,11.4332,23.1664,93.3991,19.3331,10.3999,20.9331,91.4658,24.6331,9.13324,61.566,-83.16590000000001,3.8332999999999977,-82.9992,-3.6999999999999993,-82.33256
AC3F2,ac,f,AC3,left,5.13436,153.864,108.955,2.56718,5.76782,152.297,91.2849,4.0008,4.30086,151.297,41.7083,135.927,108.955,2.56718,5.13436,153.864,91.2849,4.0008,5.76782,152.297,41.7083,135.927,4.30086,151.297,103.82064,151.29682,85.51707999999999,148.2962,37.40744,15.370000000000005
AC4F3,ac,f,AC4,left,0,300,266.38,1.93343,0,300,14.7674,111.006,0,300,6.46699,142.474,266.38,1.93343,0,300,14.7674,111.006,0,300,6.46699,142.474,0,300,266.38,298.06657,14.7674,188.994,6.46699,157.526
AC4F4,ac,f,AC4,left,0,300,224.451,6.33384,0,300,25.3354,5.50044,0,300,10.0675,4.167,224.451,6.33384,0,300,25.3354,5.50044,0,300,10.0675,4.167,0,300,224.451,293.66616,25.3354,294.49956,10.0675,295.833
AC4M1,ac,m,AC4,left,0,300,177.114,23.6352,0,300,52.4042,17.6014,0,300,41.7033,2.23351,177.114,23.6352,0,300,52.4042,17.6014,0,300,41.7033,2.23351,0,300,177.114,276.3648,52.4042,282.3986,41.7033,297.76649
AC5F1,ac,f,AC5,left,1.60013,19.0015,232.619,52.9376,17.3681,15.5346,14.4012,49.704,10.2342,13.001,2.33352,48.4039,232.619,52.9376,1.60013,19.0015,14.4012,49.704,17.3681,15.5346,2.33352,48.4039,10.2342,13.001,231.01887,-33.9361,-2.966899999999999,-34.1694,-7.9006799999999995,-35.4029
AC5F4,ac,f,AC5,left,0,300,216.584,4.10033,0,300,52.7042,2.76689,0,300,17.4014,1.3001,216.584,4.10033,0,300,52.7042,2.76689,0,300,17.4014,1.3001,0,300,216.584,295.89967,52.7042,297.23311,17.4014,298.6999
AC5F5,ac,f,AC5,left,62.905,7.9673,157.579,76.0394,2.60021,7.5006,14.0345,174.981,13.8011,6.80054,10.3675,75.1393,157.579,76.0394,62.905,7.9673,14.0345,174.981,2.60021,7.5006,10.3675,75.1393,13.8011,6.80054,94.674,-68.0721,11.434289999999999,-167.4804,-3.4336,-68.33876000000001
AC5M1,ac,m,AC5,left,0.599994,17.6332,59.0994,33.533,4.09996,14.8999,42.2662,32.4663,12.5999,11.3999,56.8328,29.3664,59.0994,33.533,0.599994,17.6332,42.2662,32.4663,4.09996,14.8999,56.8328,29.3664,12.5999,11.3999,58.499406,-15.899800000000003,38.166239999999995,-17.566399999999994,44.2329,-17.966499999999996
