ID,in_L_s,in_L_nb,in_R_s,in_R_nb,nr_L_s,nr_L_nb,nr_R_s,nr_R_nb,far_L_s,far_L_nb,far_R_s,far_R_nb,peck_L_nb,peck_R_nb,lat_in_L,lat_in_R,lat_nr_L,lat_nr_R,lat_far_L,lat_far_R,cue,sex,tank,dem_feeder,in_dem_s,in_dem_lat_s,in_nondem_s,in_nondem_lat_s,nr_dem_s,nr_dem_lat_s,nr_nondem_s,nr_nondem_lat_s,far_dem_s,far_dem_lat_s,far_nondem_s,far_nondem_lat_s,in_diff_s,nr_diff_s,far_diff_s,in_lat_diff_s
AC2F6,38.302,9,41.241,10,28.741999999999997,14,41.989,14,17.772,12,8.257,7,1,0,1.561,15.556,1.0589999999999993,14.306,0.05499999999999971,13.305,ac,f,AC2,hor,41.241,15.556,38.302,1.561,41.989,14.306,28.741999999999997,1.0589999999999993,8.257,13.305,17.772,0.05499999999999971,2.939,13.247,-9.514999999999999,13.995
AC2F7,0,0,247.375,7,0,0,47.120999999999995,9,0,0,7.74,4,0,0,600,106.309,600,106.055,600,105.31,ac,f,AC2,ver,0,600,247.375,106.309,0,600,47.120999999999995,106.055,0,600,7.74,105.31,-247.375,-47.120999999999995,-7.74,493.69100000000003
AC3F1,67.502,1,90.246,5,3.495,2,261.993,6,2.249,2,30.002,3,4,1,125.841,224.34400000000005,123.84500000000004,223.84400000000005,122.59299999999996,222.59299999999996,ac,f,AC3,ver,67.502,125.841,90.246,224.34400000000005,3.495,123.84500000000004,261.993,223.84400000000005,2.249,122.59299999999996,30.002,222.59299999999996,-22.744,-258.498,-27.753,-98.50300000000006
AC3F2,0,0,7.75,2,0.753,1,11.498,6,8.489,5,17.233999999999998,9,0,0,600,343.34400000000005,171.65700000000004,343,170.664,230.66200000000003,ac,f,AC3,hor,7.75,343.34400000000005,0,600,11.498,343,0.753,171.65700000000004,17.233999999999998,230.66200000000003,8.489,170.664,7.75,10.745,8.744999999999997,-256.65599999999995
AC4F1,16.241,4,172.499,12,12.898,8,62.989,19,12.251,7,26.219,17,0,0,254.163,46.15499999999997,253.664,45.65700000000004,253.15999999999997,45.15899999999999,ac,f,AC4,hor,172.499,46.15499999999997,16.241,254.163,62.989,45.65700000000004,12.898,253.664,26.219,45.15899999999999,12.251,253.15999999999997,156.25799999999998,50.090999999999994,13.968000000000002,-208.00800000000004
AC4F3,24.488,8,8.747,3,66.004,27,27.49,10,57.218,35,15.993,14,0,0,68.15800000000002,24.662000000000035,67.40599999999995,23.158000000000015,65.15700000000004,21.908000000000015,ac,f,AC4,hor,8.747,24.662000000000035,24.488,68.15800000000002,27.49,23.158000000000015,66.004,67.40599999999995,15.993,21.908000000000015,57.218,65.15700000000004,-15.741,-38.51400000000001,-41.225,-43.49599999999998
AC4F5,50.458,19,235.221,13,35.254,26,53.009,24,15.984,14,21.473,20,0,0,340.73,11.476999999999975,340.22799999999995,11.225000000000025,339.22799999999995,10.728999999999983,ac,f,AC4,hor,235.221,11.476999999999975,50.458,340.73,53.009,11.225000000000025,35.254,340.22799999999995,21.473,10.728999999999983,15.984,339.22799999999995,184.763,17.755000000000003,5.488999999999999,-329.25300000000004
AC5F1,38.006,4,38.506,5,28.226999999999997,8,18.482,9,17.245,8,17.253,8,0,0,158.909,228.16099999999992,150.16200000000003,223.90999999999997,147.659,222.409,ac,f,AC5,hor,38.506,228.16099999999992,38.006,158.909,18.482,223.90999999999997,28.226999999999997,150.16200000000003,17.253,222.409,17.245,147.659,0.5,-9.744999999999997,0.007999999999999119,69.25199999999992
AC5F4,247.75,2,150.005,6,17.148999999999997,4,94.733,7,4.254,3,4.747,3,0,0,296.66600000000005,31.408999999999992,296.66499999999996,30.659999999999968,294.159,30.160999999999945,ac,f,AC5,ver,247.75,296.66600000000005,150.005,31.408999999999992,17.148999999999997,296.66499999999996,94.733,30.659999999999968,4.254,294.159,4.747,30.160999999999945,97.745,-77.584,-0.4930000000000003,265.25700000000006
AC5F5,0,0,586.157,2,0,0,0.001,1,0,0,0.5,1,0,0,600,14.162000000000036,600,14.160999999999945,600,13.660999999999945,ac,f,AC5,ver,0,600,586.157,14.162000000000036,0,600,0.001,14.160999999999945,0,600,0.5,13.660999999999945,-586.157,-0.001,-0.5,585.838
AC7F1,36.494,9,80.503,3,66.241,17,8.245000000000001,7,21.73,16,19.49,7,0,0,69.154,109.16099999999994,68.15599999999995,107.90800000000002,66.90499999999997,107.90800000000002,ac,f,AC7,ver,36.494,69.154,80.503,109.16099999999994,66.241,68.15599999999995,8.245000000000001,107.90800000000002,21.73,66.90499999999997,19.49,107.90800000000002,-44.009,57.995999999999995,2.240000000000002,-40.00699999999995
AC7F3,54.223,13,106.72299999999998,17,48.233,24,69.736,28,23.009,22,24.231,20,0,0,17.408999999999992,61.16399999999999,17.158999999999992,61.16300000000001,13.160000000000023,60.66300000000001,ac,f,AC7,hor,106.72299999999998,61.16399999999999,54.223,17.408999999999992,69.736,61.16300000000001,48.233,17.158999999999992,24.231,60.66300000000001,23.009,13.160000000000023,52.499999999999986,21.503000000000007,1.2220000000000013,43.754999999999995
AC7F6,0,0,455.652,2,0,0,0.501,1,0,0,0.494,1,0,0,600,144.66200000000003,600,144.15999999999997,600,143.66499999999996,ac,f,AC7,hor,455.652,144.66200000000003,0,600,0.501,144.15999999999997,0,600,0.494,143.66499999999996,0,600,455.652,0.501,0.494,-455.33799999999997
C2F1,88.482,8,26.744999999999997,6,51.233,15,39.248,12,21.496,17,11.49,11,0,0,7.663999999999987,166.15800000000002,6.4080000000000155,99.15999999999995,5.664999999999964,97.16200000000003,c,f,C2,hor,26.744999999999997,166.15800000000002,88.482,7.663999999999987,39.248,99.15999999999995,51.233,6.4080000000000155,11.49,97.16200000000003,21.496,5.664999999999964,-61.737,-11.985,-10.005999999999998,158.49400000000003
