fish_ID,video_start,time_in_L,time_near_L,time_far_L,time_in_R,time_near_R,time_far_R
AC2F4,223,395.56,395.062,394.061,285.564,285.563,284.562
AC2F6,10,11.561,11.059,10.055,25.556,24.306,23.305
AC2F7,10,NA,NA,NA,116.309,116.055,115.31
AC3F1,594,719.841,717.845,716.593,818.344,817.844,816.593
AC3F2,546,NA,717.657,716.664,889.344,889,776.662
AC3M1,528,613.905,613.157,559.655,652.408,600.162,598.908
AC3M2,483,692.657,623.16,621.658,560.66,556.663,555.659
AC4F1,542,796.163,795.664,795.16,588.155,587.657,587.159
AC4F2,560,NA,NA,NA,NA,NA,NA
AC4F3,512,580.158,579.406,577.157,536.662,535.158,533.908
AC4F4,485,515.661,514.662,508.158,814.161,814.16,640.659
AC4F5,489,829.73,829.228,828.228,500.477,500.225,499.729
AC4M1,520,745.654,743.66,741.16,939.162,658.662,655.16
AC5F1,589,747.909,739.162,736.659,817.161,812.91,811.409
AC5F2,540,632.164,631.659,630.662,691.163,690.908,690.413
AC5F3,535,678.163,677.41,676.661,587.661,585.661,584.658
AC5F4,483,779.666,779.665,777.159,514.409,513.66,513.161
AC5F5,560,NA,NA,NA,574.162,574.161,573.661
AC5F6,520,NA,NA,NA,NA,NA,NA
AC5M1,517,703.161,700.665,560.159,584.16,583.162,582.409
AC5M2,532,548.161,547.66,547.158,567.66,567.162,567.161
AC5M3,515,576.663,574.661,572.413,556.664,548.663,547.912
AC5M4,500,647.2,619.933,618.3,666.667,664.533,663.6
AC6F1,511,581.662,581.409,580.659,534.166,532.159,530.665
AC6F2,507,562.16,559.662,526.66,540.162,539.162,536.658
AC6F3,505,557.161,556.664,554.907,541.163,540.161,540.16
AC6M1,496,499.912,499.164,499.163,521.414,520.664,519.911
AC6M2,482,505.16,504.908,504.412,493.162,492.162,484.164
AC6M3,486,632.908,631.163,629.657,546.909,546.41,545.663
AC7F1,506,575.154,574.156,572.905,615.161,613.908,613.908
AC7F2,484,648.907,648.157,647.159,490.659,489.158,488.662
AC7F3,482,499.409,499.159,495.16,543.164,543.163,542.663
AC7F4,482,779.412,779.411,778.663,692.911,692.157,691.406
AC7F5,488,533.41,532.159,530.164,709.661,708.663,703.41
AC7F6,470,NA,NA,NA,614.662,614.16,613.665
AC7M1,493,521.659,521.162,520.664,498.664,497.663,496.664
AC7M2,510,571.225,570.23,568.728,549.975,549.226,548.728
AC7M3,450,458.163,457.407,457.406,468.405,467.657,467.159
C2F1,615,622.664,621.408,620.665,781.158,714.16,712.162
C2F2,535,552.659,549.161,547.662,572.412,571.663,571.16
C2M1,485,586.905,586.155,585.905,606.164,605.655,604.161
C2M2,491,NA,NA,748.159,689.411,688.409,687.158
C3F1,565,581.661,581.158,579.908,NA,NA,746.158
C3F2,573,587.165,584.909,583.158,1156.411,1156.41,1155.163
C3F3,480,511.664,511.663,511.163,767.163,764.162,763.161
C3M1,510,NA,NA,NA,669.66,664.664,662.661
C3M2,500,558.907,558.407,557.658,550.662,550.163,539.162
C3M3,499,501.407,500.658,500.161,522.159,521.656,521.163
C3M4,477,513.659,512.661,511.66,496.405,495.658,493.912
C4F1,492,NA,NA,NA,513.16,512.662,511.661
C4F2,505,526.161,525.164,524.162,511.413,509.159,508.159
C4F3,505,514.163,513.908,513.159,558.411,558.41,557.914
C4F4,525,580.161,580.16,579.411,562.66,562.659,562.16
C4F5,482,532.908,529.662,528.666,559.16,558.162,556.665
C4M1,489,512.155,511.655,510.657,611.911,611.163,609.658
C4M2,523,524.158,523.661,523.405,551.16,550.662,550.661
C4M3,489,611.66,611.161,610.663,526.16,525.662,525.661
C5F1,507,632.413,631.909,631.413,566.162,565.412,564.91
C5F2,517,730.159,729.662,728.662,914.157,913.159,912.909
C5F3,513,691.158,690.663,690.162,559.664,559.407,558.413
C5F4,559,NA,NA,NA,NA,NA,NA
C5F5,489,517.662,517.162,516.664,575.413,574.658,574.16
C5M1,524,524.91,524.411,524.41,1004.667,1004.165,1004.164
C5M2,520,692.696,690.695,689.443,658.696,656.691,655.693
C5M3,500,507.163,507.162,506.157,515.163,514.663,513.658
C6F1,511,NA,NA,NA,750.916,750.666,750.414
C6F2,507,531.185,530.186,530.185,514.932,513.682,512.68
C6F3,489,594.412,592.905,591.659,539.406,537.155,535.654
C6F4,478,766.899,764.904,764.4,NA,NA,NA
C6M1,507,587.163,586.408,585.912,530.413,530.16,528.657
C6M2,549,637.161,636.411,634.407,661.159,660.658,659.159
C6M3,502,565.42,564.914,563.423,655.175,655.174,654.672
C6M4,475,781.684,776.43,775.431,613.447,608.696,607.696
C7F1,460,475.661,475.66,475.41,463.159,462.658,462.158
C7F2,456,482.162,481.159,481.158,679.662,679.41,678.912
C7F3,452,482.66,482.163,481.662,474.155,473.656,473.405
C7M1,472,518.66,518.161,517.658,507.161,506.162,505.155
C7M3,494,523.154,521.904,518.655,542.656,542.154,541.904
C7M4,477,665.666,662.663,657.162,707.164,706.164,701.66
C7M5,441,443.16,443.159,442.661,522.662,522.159,521.659
