obs_id,tank,time,sex,fish_ID,cue
C01V1,ST2C9,after ,male,ST2C9M,control
C01V2,ST2C9,before ,male,ST2C9M,control
C02V1,ST2C14,before ,male,ST2C14M,control
C02V2,ST2C14,after ,male,ST2C14M,control
C02V3,ST2C14,after ,male,ST2C14M,control
C03V1,ST2C8,before ,male,ST2C8M,control
C03V2,ST2C8,after ,male,ST2C8M,control
C04V1,ST2C12,before ,male,ST2C12M,control
C04V2,ST2C12,after ,male,ST2C12M,control
C04V3,ST2C12,after ,male,ST2C12M,control
C05V1,ST2C7,after ,male,ST2C7M,control
C05V2,ST2C7,before ,male,ST2C7M,control
C06V1,ST2AC1,after ,male,ST2AC1M,alarm
C06V2,ST2AC1,before ,male,ST2AC1M,alarm
C07V1,ST2AC4,before ,male,ST2AC4M,alarm
C07V2,ST2AC4,after ,male,ST2AC4M,alarm
C08V1,ST2C13,before ,male,ST2C13M,control
C08V2,ST2C13,after ,male,ST2C13M,control
C09V1,ST2AC5,before ,male,ST2AC5M,alarm
C09V2,ST2AC5,after ,male,ST2AC5M,alarm
C10V1,ST2C1,before ,male,ST2C1M,control
C10V2,ST2C1,after ,male,ST2C1M,control
C11V1,ST2AC9,after ,male,ST2AC9M,alarm
C11V2,ST2AC9,before ,male,ST2AC9M,alarm
C12V1,ST2C4,before ,male,ST2C4M,control
C12V2,ST2C4,after ,male,ST2C4M,control
C13V1,ST2AC2,after ,male,ST2AC2M,alarm
C13V2,ST2AC2,before ,male,ST2AC2M,alarm
C14V1,ST2AC10,after ,male,ST2AC10M,alarm
C14V2,ST2AC10,before ,male,ST2AC10M,alarm
C15V1,ST2AC11,after ,male,ST2AC11M,alarm
C15V2,ST2AC11,before ,male,ST2AC11M,alarm
C16V1,ST2AC15,after ,male,ST2AC15M,alarm
C16V2,ST2AC15,before ,male,ST2AC15M,alarm
C17V1,ST2AC3,after ,male,ST2AC3M,alarm
C17V2,ST2AC3,before ,male,ST2AC3M,alarm
C18V1,ST2AC6,after ,male,ST2AC6M,alarm
C18V2,ST2AC6,before ,male,ST2AC6M,alarm
C19V1,ST2C11,after ,male,ST2C11M,control
C19V2,ST2C11,before ,male,ST2C11M,control
C20V1,ST2C10,after ,male,ST2C10M,control
C20V2,ST2C10,before ,male,ST2C10M,control
C21V1,ST2AC16,before ,male,ST2AC16M,alarm
C21V2,ST2AC16,after ,male,ST2AC16M,alarm
C22V1,ST2C3,before ,male,ST2C3M,control
