ID,cue,sex,tank,dist_cm,veloc_cms,moving_s,frozen_s,avgdistshelt_cm,maxdistshelt_cm,time_shelter_s,lat_shelter_s,per_shelt,time_outer_s,lat_outer_s,per_outer
AC3F2,ac,f,AC3,493.231,2.77933,123.161,54.3027,8.51147,19.2955,122.43,0.166165,40.8019,132.367,10.1028,44.1134
AC3M1,ac,m,AC3,1118.81,4.75287,211.198,24.1998,10.7803,20.033,64.7994,51.9995,21.5712,173.198,6.59993,57.6565
AC3M2,ac,m,AC3,658.418,3.11263,133.832,77.7659,9.5036,20.0355,88.4324,12.7999,29.4712,170.165,9.03324,56.7096
AC2F4,ac,f,AC2,453.105,2.43128,90.3991,95.9657,10.1951,19.7857,113.666,27.1331,37.8805,162.898,0,54.2879
AC2F5,ac,f,AC2,364.175,1.21969,61.01,237.569,7.82407,19.5032,1.43435,298.445,0.478043,76.8545,194.305,25.6142
AC2F6,ac,f,AC2,367.86,2.50638,77.2349,69.5347,11.5346,19.9606,153.27,0,51.0832,131.203,117.169,43.7285
AC2F7,ac,f,AC2,747.484,3.4556,131.073,85.2376,10.4317,19.8655,83.7042,50.4692,27.8969,184.609,0.13334,61.5265
AC4F1,ac,f,AC4,435.309,1.60002,77.6992,194.365,8.2625,18.8631,27.9664,174.998,9.32015,231.798,0,77.2495
AC4F2,ac,f,AC4,27.1764,0.0905788,0,300.03,6.37705,7.06068,0,NA,0,123.365,0,41.1131
AC4F3,ac,f,AC4,663.64,2.48681,144.399,122.465,14.4094,19.4176,33.1663,51.5995,11.0531,242.664,0,80.8709
AC4F5,ac,f,AC4,94.8136,0.492714,9.56657,182.865,2.0495,9.01519,107.599,27.0664,35.8587,59.7661,64.1994,19.9178
AC4M1,ac,m,AC4,299.834,1.17938,44.4329,210.131,12.4259,19.4071,11.7665,104.099,3.92135,0,NA,0
AC5F1,ac,f,AC5,506.084,2.11252,116.499,123.065,8.70042,18.7228,60.4661,58.8661,20.1511,163.032,32.8997,54.3324
AC5F3,ac,f,AC5,499.835,2.20259,111.966,114.966,7.48715,19.0116,73.0993,99.1323,24.3613,150.698,5.19995,50.2222
AC5F5,ac,f,AC5,394.698,1.47976,70.966,195.765,6.92266,19.5058,33.2997,191.465,11.0975,92.0657,151.065,30.6821
AC4F4,ac,f,AC4,550.44,2.08819,97.9657,165.632,8.98643,19.3666,36.433,116.199,12.1417,158.532,71.0326,52.8327
AC5F2,ac,f,AC5,629.428,3.01165,128.332,80.6659,8.59672,19.1476,91.0324,56.9994,30.3377,174.765,2.96664,58.2426
AC5F4,ac,f,AC5,495.181,1.76516,99.9657,180.565,11.3313,19.0651,19.4998,210.031,6.49856,196.065,53.0661,65.341
AC5M1,ac,m,AC5,820.677,3.36945,190.031,53.5328,9.01654,19.6625,56.4661,28.3331,18.818,215.298,0,71.7507
AC5M2,ac,m,AC5,1023.01,4.39946,173.432,59.0994,11.8652,19.8021,67.4993,22.1998,22.495,187.265,19.1331,62.4084
AC5M3,ac,m,AC5,372.09,1.29304,63.8327,223.931,8.00353,18.9006,12.2665,171.332,4.08798,185.331,10.2332,61.7641
AC5M4,ac,m,AC5,1232.54,4.45339,220.831,55.9328,8.68971,19.1178,23.2664,54.6995,7.75383,214.631,0,71.5285
AC6F1,ac,f,AC6,631.018,2.75196,134.965,94.3324,10.5274,19.503,70.7326,25.0331,23.5725,0,NA,0
AC6F2,ac,f,AC6,702.092,2.98104,145.912,89.6072,9.16642,19.0911,64.5052,16.5013,21.4976,215.017,0,71.6587
AC5F6,ac,f,AC5,271.199,1.16279,44.5996,188.631,8.6125,19.0015,66.7993,228.631,22.2617,129.265,44.4329,43.0793
AC6M1,ac,m,AC6,956.479,3.48078,194.749,80.0397,12.8562,19.7044,25.2354,28.769,8.41018,228.118,2.06683,76.0249
AC6M2,ac,m,AC6,1277.53,6.05087,175.632,35.4996,12.2556,19.7967,88.8991,24.2998,29.6267,186.931,0,62.2973
AC6M3,ac,m,AC6,413.606,1.40461,77.1659,217.298,13.9263,18.8668,5.56661,287.63,1.85514,224.131,42.2996,74.6945
AC7F1,ac,f,AC7,549.992,2.34975,122.365,111.699,10.5213,18.5957,65.966,35.4996,21.984,0,NA,0
AC7F2,ac,f,AC7,329.613,1.54968,70.866,141.832,10.9238,18.6492,87.3325,141.165,29.1046,178.865,8.59991,59.609
AC7F3,ac,f,AC7,625.827,2.99729,140.065,68.7326,10.3624,19.0155,91.2324,15.0998,30.4044,188.098,2.29998,62.6861
AC7F4,ac,f,AC7,454.817,1.82415,93.7657,155.565,10.5784,19.2239,50.6995,65.566,16.8962,191.798,33.5997,63.9191
AC7F6,ac,f,AC7,199.133,0.663719,25.4384,274.588,9.58356,18.8787,0,NA,0,200.473,7.30146,66.8111
AC7M1,ac,m,AC7,533.2,2.62103,128.832,74.5993,9.83546,19.3979,96.599,13.3999,32.1928,146.332,0,48.7669
AC7M2,ac,m,AC7,645.044,2.28904,160.765,121.032,9.50343,18.9917,18.2332,27.1997,6.07643,212.531,5.06662,70.8287
AC7M3,ac,m,AC7,1299.3,6.32784,185.498,19.8331,10.4616,19.5443,94.6991,10.6666,31.5597,163.065,0.133332,54.3435
AC7F5,ac,f,AC7,599.533,2.16864,134.677,141.778,9.80664,18.8132,23.5686,81.9399,7.85468,200.316,8.56735,66.7592
AC6F3,ac,f,AC6,853.951,3.91127,138.932,79.3992,9.7531,19.017,81.6992,19.8665,27.2273,191.431,0,63.7969
C2F1,c,f,C2,302.964,2.06756,53.9328,92.5991,8.1005,19.2008,153.498,14.4332,51.1553,97.6657,12.7332,32.5483
C2F2,c,f,C2,419.403,2.01962,88.4658,119.199,8.85203,19.6993,92.3657,44.3996,30.782,0,NA,0
C2M1,c,m,C2,877.26,4.0254,152.265,65.766,14.3597,19.9128,81.9992,43.5996,27.3273,209.931,0,69.9622
C2M2,c,m,C2,726.881,2.80183,157.465,101.966,10.9921,20.0596,40.5996,72.8659,13.5303,218.831,0,72.9282
C3F2,c,f,C3,725.846,2.81084,145.765,112.466,11.3835,19.2856,41.7996,80.3325,13.9302,234.398,0,78.116
C3M1,c,m,C3,528.054,1.85501,96.0657,188.598,9.55167,20.1261,15.3665,139.499,5.12108,209.231,41.5663,69.7289
C3M2,c,m,C3,675.185,3.45866,128.844,66.372,8.44208,19.4852,104.808,5.73379,34.9295,154.446,26.3354,51.4721
C3F3,c,f,C3,452.551,1.58163,98.999,187.131,8.87454,18.6287,13.8999,226.698,4.6323,143.365,51.4328,47.7783
C3F1,c,f,C3,538.113,2.36813,113.966,113.232,10.2411,19.7183,72.7993,7.83325,24.2613,219.164,0.33333,73.0393
C3M3,c,m,C3,881.407,3.77318,170.965,62.6327,10.6394,19.4787,66.4327,36.233,22.1395,223.798,0,74.5834
C3M4,c,m,C3,822.736,3.46808,157.332,79.8992,10.5096,19.0924,62.7994,33.8997,20.9287,214.965,10.3999,71.6396
C4F1,c,f,C4,469.348,1.61679,92.2324,198.065,9.79989,19.1048,9.73324,210.531,3.24372,87.1325,177.065,29.038
C4F2,c,f,C4,935.099,3.77821,172.265,75.2326,9.98278,19.0288,52.5328,96.7657,17.5072,0,NA,0
C4F3,c,f,C4,911.073,3.81472,174.465,64.366,11.2189,19.7811,61.1994,52.1328,20.3955,206.665,2.26664,68.8736
C4F4,c,f,C4,880.213,3.5864,134.432,110.999,9.46918,19.7581,54.5995,51.5995,18.196,183.132,20.0665,61.0309
AC3F1,ac,f,AC3,699.869,3.03917,132.067,98.2157,9.84527,19.923,69.7392,21.9333,23.2421,165.618,11.4173,55.1958
C4F5,c,f,C4,949.889,4.18581,157.498,69.4326,8.60727,19.5933,73.0993,42.6329,24.3613,146.432,30.233,48.8003
C4M1,c,m,C4,1028.94,4.53282,179.432,47.5662,12.7739,19.6043,73.0326,24.2998,24.339,196.231,19.1665,65.3966
C4M3,c,m,C4,1010.56,4.8322,156.632,52.4995,9.29192,19.8056,90.8991,56.0994,30.2933,153.698,9.9999,51.222
C5F1,c,f,C5,603.628,2.73633,123.832,96.7657,10.7292,18.6945,79.4325,35.233,26.4719,186.531,23.0664,62.164
C5F2,c,f,C5,620.265,2.90737,122.758,90.5848,9.25621,18.4976,86.684,54.811,28.8889,141.928,53.2773,47.3
C5F3,c,f,C5,838.371,3.79186,143.365,77.7326,9.96405,19.142,78.9325,83.5658,26.3053,183.365,19.2665,61.1086
C5F4,c,f,C5,344.684,1.42029,68.0388,174.647,10.9655,19.0673,57.3379,40.0032,19.109,197.382,0,65.7816
C5M1,c,m,C5,1423.07,5.28241,236.098,33.2997,13.9754,19.4798,30.633,24.3664,10.2088,0,NA,0
C5M2,c,m,C5,582.186,2.47847,137.132,97.7657,9.27849,19.4141,65.1327,42.5996,21.7063,188.765,7.0666,62.9082
C5M3,c,m,C5,885.643,3.80544,181.232,51.4995,10.8612,18.9779,67.2993,15.1998,22.4283,177.898,0,59.2868
C4M2,c,m,C4,879.922,3.99424,156.932,63.366,11.6207,19.4361,79.7325,99.4323,26.5719,189.598,4.76662,63.186
C5F5,c,f,C5,5.74492,7.49345,0.766659,0,3.37755,5.10938,299.264,0.799992,99.7334,0,NA,0
C7F1,c,f,C7,716.611,3.1812,139.599,85.6658,9.84489,19.328,74.7659,20.5998,24.9167,208.698,0.633327,69.5512
C6F1,c,f,C6,80.1784,1.59296,15.5998,34.733,10.4197,17.5222,249.698,35.8996,83.2148,39.9329,0,13.3082
C7F2,c,f,C7,588.738,3.21542,115.532,67.566,9.80466,19.0857,116.932,27.9997,38.9691,147.832,10.4666,49.2668
C7F3,c,f,C7,841.255,2.9456,158.432,127.165,9.43298,19.625,14.4332,96.2324,4.81004,220.964,52.9328,73.6392
C6F2,c,f,C6,600.654,2.09071,129.165,158.132,14.4785,19.829,12.7332,34.2997,4.2435,273.031,3.93329,90.9909
C6F3,c,f,C6,354.054,1.28983,67.5993,206.898,7.96465,19.143,25.5331,108.266,8.50922,160.298,60.9994,53.4215
C6F4,c,f,C6,405.045,1.95707,86.4325,120.532,9.78183,19.0714,93.0657,44.2662,31.0153,0,NA,0
C6M1,c,m,C6,935.563,3.73134,174.965,75.7659,12.4882,19.233,49.2995,17.0332,16.4297,219.098,0,73.0171
C6M2,c,m,C6,762.054,4.26607,147.965,41.7329,9.30048,19.6805,13.7665,49.2328,4.58787,165.165,12.6999,55.0433
C6M3,c,m,C6,1096.09,4.40144,194.131,54.8995,8.6205,19.3104,50.9995,11.1332,16.9962,189.598,7.49992,63.186
C6M4,c,m,C6,425.835,1.53548,99.099,178.232,10.8709,19.4037,22.6998,68.5326,7.56499,236.898,4.03329,78.9491
C7M1,c,m,C7,1260.51,4.80992,215.331,46.7329,13.7339,19.5551,37.9663,7.0666,12.6527,240.731,7.03326,80.2266
C7M2,c,m,C7,949.614,4.08499,162.632,69.8326,12.9146,19.477,67.566,24.3664,22.5172,204.865,6.03327,68.2737
C7M3,c,m,C7,852.155,3.38026,153.332,98.7657,10.531,19.4453,47.9329,23.5664,15.9742,223.531,1.46665,74.4946
C7M4,c,m,C7,378.084,1.97338,85.1445,106.447,7.37392,19.1692,108.083,1.80306,36.0227,138.235,0.63441,46.0717
C7M5,c,m,C7,921.034,3.66366,174.265,77.1326,11.4539,19.6536,48.6328,19.7665,16.2075,232.998,0,77.6494
