ID,cue,sex,tank,shoal_side,int_L_s,int_L_lat_s,int_R_s,int_R_lat_s,tight_L_s,tight_L_lat_s,tight_R_s,tight_r_lat_s,lse_L_s,lse_L_lat_s,lse_R_s,lse_R_lat_s,int_shoal_s,int_shoal_lat_s,int_emp_s,int_emp_lat_s,tight_shoal_s,tight_shoal_lat_s,tight_emp_s,tight_emp_lat_s,lse_shoal_s,lse_shoal_lat_s,lse_emp_s,lse_emp_lat_s
AC2F4,alarm,f,AC2,left,0,-,211.865,7.21329,0,-,52.3479,3.2975,0,-,16.6936,86.5595,211.865,7.21329,0,-,52.3479,3.2975,0,-,16.6936,86.5595,0,-
AC2F5,alarm,f,AC2,left,0,-,226.636,3.42006,0,-,26.1879,2.31261,1.66117,248.329,13.2894,52.8969,226.636,3.42006,0,-,26.1879,2.31261,0,-,13.2894,52.8969,1.66117,248.329
AC3F1,alarm,f,AC3,left,26.5331,11.4332,88.0991,94.5991,19.3331,10.3999,23.1664,93.3991,24.6331,9.13324,20.9331,91.4658,88.0991,94.5991,26.5331,11.4332,23.1664,93.3991,19.3331,10.3999,20.9331,91.4658,24.6331,9.13324
AC3F2,alarm,f,AC3,left,5.13436,153.864,108.955,2.56718,5.76782,152.297,91.2849,4.0008,4.30086,151.297,41.7083,135.927,108.955,2.56718,5.13436,153.864,91.2849,4.0008,5.76782,152.297,41.7083,135.927,4.30086,151.297
AC4F3,alarm,f,AC4,left,0,-,266.38,1.93343,0,-,14.7674,111.006,0,-,6.46699,142.474,266.38,1.93343,0,-,14.7674,111.006,0,-,6.46699,142.474,0,-
AC4F4,alarm,f,AC4,left,0,-,224.451,6.33384,0,-,25.3354,5.50044,0,-,10.0675,4.167,224.451,6.33384,0,-,25.3354,5.50044,0,-,10.0675,4.167,0,-
AC4M1,alarm,m,AC4,left,0,-,177.114,23.6352,0,-,52.4042,17.6014,0,-,41.7033,2.23351,177.114,23.6352,0,-,52.4042,17.6014,0,-,41.7033,2.23351,0,-
AC5F1,alarm,f,AC5,left,1.60013,19.0015,232.619,52.9376,17.3681,15.5346,14.4012,49.704,10.2342,13.001,2.33352,48.4039,232.619,52.9376,1.60013,19.0015,14.4012,49.704,17.3681,15.5346,2.33352,48.4039,10.2342,13.001
AC5F4,alarm,f,AC5,left,0,-,216.584,4.10033,0,-,52.7042,2.76689,0,-,17.4014,1.3001,216.584,4.10033,0,-,52.7042,2.76689,0,-,17.4014,1.3001,0,-
AC5F5,alarm,f,AC5,left,62.905,7.9673,157.579,76.0394,2.60021,7.5006,14.0345,174.981,13.8011,6.80054,10.3675,75.1393,157.579,76.0394,62.905,7.9673,14.0345,174.981,2.60021,7.5006,10.3675,75.1393,13.8011,6.80054
AC5M1,alarm,m,AC5,left,0.599994,17.6332,59.0994,33.533,4.09996,14.8999,42.2662,32.4663,12.5999,11.3999,56.8328,29.3664,59.0994,33.533,0.599994,17.6332,42.2662,32.4663,4.09996,14.8999,56.8328,29.3664,12.5999,11.3999
AC5M3,alarm,m,AC5,left,49.2039,7.53394,94.1075,101.941,8.10065,5.06707,60.4048,100.308,12.501,3.50028,41.77,93.7742,94.1075,101.941,49.2039,7.53394,60.4048,100.308,8.10065,5.06707,41.77,93.7742,12.501,3.50028
AC6F1,alarm,f,AC6,left,24.3219,84.8291,151.152,13.0201,13.2845,86.6797,15.6969,32.3851,9.94685,82.8794,18.3405,12.0618,151.152,13.0201,24.3219,84.8291,15.6969,32.3851,13.2845,86.6797,18.3405,12.0618,9.94685,82.8794
