obs_ID,Bin,fish_ID,in_L_s,in_L_nb,in_R_s,in_R_nb,nr_L_s,nr_L_nb,nr_R_s,nr_R_nb,far_L_s,far_L_nb,far_R_s,far_R_nb,peck_L_nb,peck_R_nb
AC2F4_1,1,AC2F4,96.738,4,8.744,4,16.498,6,3.734,7,5.991,5,9.502,5,0,0
AC2F4_2,2,AC2F4,159.505,4,0,0,12,5,0,0,7.458,4,0,0,0,0
AC2F6_1,1,AC2F6,33.26,6,28.499,7,17.985,9,20.239,10,11.261,9,5.503,6,0,0
AC2F6_2,2,AC2F6,5.042,3,12.742,3,10.757,5,21.75,4,6.511,3,2.754,1,1,0
AC2F7_1,1,AC2F7,0,0,140.128,5,0,0,22.368,7,0,0,4.742,3,0,0
AC2F7_2,2,AC2F7,0,0,107.247,2,0,0,24.753,2,0,0,2.998,1,0,0
AC3F1_1,1,AC3F1,67.502,1,6.997,1,3.495,2,69.496,2,2.249,2,1.25,1,4,0
AC3F1_2,2,AC3F1,0,0,83.249,4,0,0,192.497,4,0,0,28.752,2,0,1
AC3F2_1,1,AC3F2,0,0,0,0,0.753,1,0,0,4.987,3,1.746,1,0,0
AC3F2_2,2,AC3F2,0,0,7.75,2,0,0,11.498,6,3.502,2,15.488,8,0,0
AC3M1_1,1,AC3M1,19.267,7,9.756,5,6.477,13,12.48,11,15.238,15,9.498,12,0,0
AC3M1_2,2,AC3M1,15.731,10,3.502,3,16.742,16,6.489,7,8.947,13,6.497,9,0,0
AC3M2_1,1,AC3M2,5.748,1,66.005,8,5.75,3,46.225,12,5.252,4,26.993,7,0,0
AC3M2_2,2,AC3M2,11.003,1,29.16,4,1.994,2,126.245,9,2.494,2,53.237,10,0,0
AC4F1_1,1,AC4F1,16.241,4,123.255,4,11.246,6,7.493,6,3.244,4,4.741,6,0,0
AC4F1_2,2,AC4F1,0,0,49.244,8,1.652,2,55.496,13,9.007,3,21.478,11,0,0
AC4F2_1,1,AC4F2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC4F2_2,2,AC4F2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC4F3_1,1,AC4F3,9.992,3,8.747,3,16.252,8,27.49,10,11.995,10,15.993,14,0,0
AC4F3_2,2,AC4F3,14.496,5,0,0,49.752,19,0,0,45.223,25,0,0,0,0
AC4F4_1,1,AC4F4,39.247,2,0,0,4.246,3,0,0,8.001,2,6.249,1,0,0
AC4F4_2,2,AC4F4,2.504,1,92.238,6,8.49,2,11.006,10,3.001,2,10.74,8,0,0
AC4F5_1,1,AC4F5,0,0,204.485,4,0,0,19.771,7,0,0,6.974,6,0,0
AC4F5_2,2,AC4F5,50.458,19,30.736,9,35.254,26,33.238,17,15.984,14,14.499,14,0,0
AC4M1_1,1,AC4M1,40.493,4,0,0,13.495,5,22,2,6.001,3,13.247,3,0,0
AC4M1_2,2,AC4M1,44.16,7,10.999,1,53.482,10,2.251,2,37.75,7,3.999,2,0,0
AC5F1_1,1,AC5F1,8.754,2,12.996,1,16.237,4,6.751,2,5.753,4,4.25,2,0,0
AC5F1_2,2,AC5F1,29.252,2,25.51,4,11.99,4,11.731,7,11.492,4,13.003,6,0,0
AC5F2_1,1,AC5F2,42.499,2,37.242,5,5.991,4,7.746,8,6.25,4,5,6,0,0
AC5F2_2,2,AC5F2,6.498,1,99.739,7,4.747,3,30.742,11,22.749,4,12.742,8,0,0
AC5F3_1,1,AC5F3,8.997,1,36.237,5,1.248,2,29.504,9,5.754,2,14.747,9,0,0
AC5F3_2,2,AC5F3,1.754,1,172.251,7,13.243,2,39.732,10,3.494,2,6.492,6,0,0
AC5F4_1,1,AC5F4,2.744,1,150.005,6,0.749,2,94.733,7,2.506,1,4.747,3,0,0
AC5F4_2,2,AC5F4,245.006,1,0,0,16.4,2,0,0,1.748,2,0,0,0,0
AC5F5_1,1,AC5F5,0,0,285.999,1,0,0,0.001,1,0,0,0.5,1,0,0
AC5F5_2,2,AC5F5,0,0,300.158,1,0,0,0,0,0,0,0,0,0,0
AC5F6_1,1,AC5F6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC5F6_2,2,AC5F6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC5M1_1,1,AC5M1,22.254,2,23.003,1,6.739,4,5.99,2,9.735,5,10.753,3,0,0
AC5M1_2,2,AC5M1,13.503,1,0,0,2.748,2,5.996,1,25.743,3,15.745,5,0,0
AC5M2_1,1,AC5M2,5.25,3,2.5,1,6.242,6,35.52,33,4.999,5,26.947,49,0,0
AC5M2_2,2,AC5M2,0,0,0,0,0,0,65.452,44,0,0,25.007,56,0,0
AC5M3_1,1,AC5M3,46.734,6,31.239,9,15.754,11,20.241,16,14.734,11,10.995,12,0,0
AC5M3_2,2,AC5M3,170.75,4,7.999,1,18.743,5,3.906,3,8.505,3,4.749,3,0,0
AC5M4_1,1,AC5M4,2.03,3,7.259,7,20.361,8,21.854,13,6.96,9,8.428,13,0,0
AC5M4_2,2,AC5M4,17.723,15,4.001,2,52.734,26,10.478,6,20.987,23,8.762,9,0,0
AC6F1_1,1,AC6F1,7.498,1,20.752,5,48.747,7,14.743,7,10.489,11,4.992,5,0,0
AC6F1_2,2,AC6F1,19.492,3,10.252,3,93.144,13,48.748,5,16.998,15,4.991,3,0,0
AC6F2_1,1,AC6F2,4.498,2,16.002,5,72.974,15,14.227,9,33.969,25,10.254,8,0,0
AC6F2_2,2,AC6F2,14.75,3,21.002,2,120.137,18,11.992,3,39.484,22,5.502,3,0,0
AC6F3_1,1,AC6F3,22.229,10,46.471,16,47.248,15,66.246,25,9.499,9,14.481,15,0,0
AC6F3_2,2,AC6F3,9.487,6,20.488,10,36.986,12,50.988,15,17.498,10,16.99,10,0,0
AC6M1_1,1,AC6M1,15.237,7,21.468,17,19.24,14,72.492,36,11.227,13,22.009,34,0,0
AC6M1_2,2,AC6M1,14.987,9,6.492,5,47.994,20,47.399,12,19.984,19,8.75,11,0,0
AC6M2_1,1,AC6M2,2.504,1,8.244,4,1.247,2,60.487,30,2.992,3,36.465,45,0,0
AC6M2_2,2,AC6M2,0,0,9.249,6,35.752,15,23.488,9,22.244,31,2.497,5,0,0
AC6M3_1,1,AC6M3,13.493,3,11.499,8,6.247,7,21.238,15,8.505,7,11.228,14,0,0
AC6M3_2,2,AC6M3,3.998,1,7.49,5,6.498,4,38.49,10,6.249,6,12.256,11,0,0
AC7F1_1,1,AC7F1,21.994,5,41.503,2,23.752,9,3.239,4,9.483,9,12.001,4,0,0
AC7F1_2,2,AC7F1,14.5,4,39,1,42.489,8,5.006,3,12.247,7,7.489,3,0,0
AC7F2_1,1,AC7F2,1.252,1,38.24,4,2.249,2,19.001,7,4.496,3,15.498,9,0,0
AC7F2_2,2,AC7F2,44.472,8,1.746,1,74.92,13,3.494,2,19.243,10,4.254,3,0,0
AC7F3_1,1,AC7F3,29.745,7,40.23,9,17.741,14,15.745,14,13.245,15,8,10,0,0
AC7F3_2,2,AC7F3,24.478,6,66.493,8,30.492,10,53.991,14,9.764,7,16.231,10,0,0
AC7F4_1,1,AC7F4,2.75,1,11.496,1,0.001,1,1.004,2,0.748,1,1.499,2,0,0
AC7F4_2,2,AC7F4,8.41,2,45.738,5,18.492,3,22.003,8,4.005,3,6.755,8,0,0
AC7F5_1,1,AC7F5,8,3,8.994,2,9.499,6,5.496,3,6.487,6,7.76,2,0,0
AC7F5_2,2,AC7F5,12.986,4,28.483,6,17.001,8,42.747,9,11.248,7,7.505,7,0,0
AC7F6_1,1,AC7F6,0,0,155.494,1,0,0,0.501,1,0,0,0.494,1,0,0
AC7F6_2,2,AC7F6,0,0,300.158,1,0,0,0,0,0,0,0,0,0,0
AC7M1_1,1,AC7M1,6.743,6,54.47,18,20.735,11,94.5,27,5.008,8,12.728,16,0,0
AC7M1_2,2,AC7M1,5.752,1,54.151,13,7.501,3,106.225,22,7.253,4,32.48,20,0,0
AC7M2_1,1,AC7M2,15.485,8,16.725,12,29.994,12,43.495,25,5.752,7,17.217,26,0,0
AC7M2_2,2,AC7M2,4.744,5,14.734,8,109.725,16,20.492,15,14.99,20,10.967,14,0,0
AC7M3_1,1,AC7M3,8.485,4,11.004,6,3.26,8,45.22,27,4.238,8,23.736,38,0,0
AC7M3_2,2,AC7M3,26.479,18,9.231,5,39.972,27,13.756,8,10.768,19,4.995,6,0,0
C2F1_1,1,C2F1,42.242,4,22.74,5,17.489,8,31.759,9,10.499,9,9.489,8,0,0
C2F1_2,2,C2F1,46.24,4,4.005,1,33.744,7,7.489,3,10.997,8,2.001,3,0,0
C2F2_1,1,C2F2,29.005,6,60.209,21,39.243,10,78.748,25,8.742,8,6.002,8,0,0
C2F2_2,2,C2F2,4.412,1,123.742,10,2.249,1,68.229,15,0.497,1,13.995,8,0,0
C2M1_1,1,C2M1,21.498,11,16.473,10,16.486,15,18.01,13,2.991,8,5.248,7,0,0
C2M1_2,2,C2M1,167.443,48,0,0,109.71,53,0,0,5.747,10,0,0,0,0
C2M2_1,1,C2M2,0,0,5.997,2,0,0,4.502,3,4.005,1,3.498,4,0,0
C2M2_2,2,C2M2,0,0,64.165,14,0,0,44.725,19,0,0,9.005,11,0,0
C3F1_1,1,C3F1,37.492,4,0,0,43.505,9,0,0,26.998,10,1.253,1,0,0
C3F1_2,2,C3F1,206.651,2,0,0,22.999,2,0,0,7.503,2,0,0,0,0
C3F2_1,1,C3F2,16.243,6,0,0,67.99,18,0,0,21.229,23,0,0,0,0
C3F2_2,2,C3F2,56.711,22,3.749,1,136.241,25,11.248,2,6.999,6,1.997,2,0,0
C3F3_1,1,C3F3,88.741,7,13.241,1,20.745,11,3,1,13.499,8,1,1,3,0
C3F3_2,2,C3F3,50.743,4,57.413,2,35.747,10,13.748,4,22.984,11,7.499,5,0,0
C3M1_1,1,C3M1,0,0,30.748,4,0,0,17.235,6,0,0,10.755,5,0,0
C3M1_2,2,C3M1,0,0,102.508,3,0,0,19.232,7,0,0,37.25,9,0,0
C3M2_1,1,C3M2,21.008,5,17.497,15,13.986,8,55.705,25,4.245,6,15.256,20,0,0
C3M2_2,2,C3M2,27.96,19,7.26,5,131.735,27,21.4,7,7.519,13,3.49,3,0,0
C3M3_1,1,C3M3,33.255,27,21.224,21,58.174,32,45.251,33,6.255,10,10.732,22,0,0
C3M3_2,2,C3M3,28.238,13,5.015,4,31.48,18,53.22,18,5.498,11,14.978,29,0,0
C3M4_1,1,C3M4,59.973,26,31.483,11,49.468,33,25.228,19,8.751,13,11.492,15,0,0
C3M4_2,2,C3M4,42.238,26,11.746,9,84.434,33,48.987,16,10.001,12,8.239,10,0,0
C4F1_1,1,C4F1,0,0,234.753,2,0,0,20.488,3,0,0,3.752,3,0,0
C4F1_2,2,C4F1,0,0,267.905,2,0,0,2.499,2,0,0,4,2,0,0
C4F2_1,1,C4F2,24.742,7,13.751,6,19.228,14,21.475,15,9.5,13,16.515,17,0,0
C4F2_2,2,C4F2,5.249,1,0.749,1,33.896,7,21.491,6,6.256,8,16.747,12,0,0
C4F3_1,1,C4F3,26.743,12,14.509,11,26.491,22,32.715,20,15.968,20,11.722,18,0,0
C4F3_2,2,C4F3,27.496,10,15.99,9,53.73,16,28.241,13,14.742,12,7.498,8,0,0
C4F4_1,1,C4F4,17.758,9,20.247,12,20.714,14,73.236,21,7.753,10,9.733,17,0,0
C4F4_2,2,C4F4,2.981,3,7.244,9,20.008,5,189.394,15,3.51,4,8.236,12,0,0
C4F5_1,1,C4F5,23.499,4,33.254,5,23.743,8,15.238,10,9.731,8,11.979,10,0,0
C4F5_2,2,C4F5,16.994,2,50.239,4,9.498,4,17.257,7,5.748,4,11.235,6,0,0
C4M1_1,1,C4M1,16.003,4,13.741,14,6.492,8,33.969,24,4.999,8,11.239,16,0,0
C4M1_2,2,C4M1,0,0,7.493,3,0,0,24.501,19,0,0,24.715,33,0,0
C4M2_1,1,C4M2,23.488,13,14.474,14,25.482,23,55.237,32,11.749,20,21.51,34,0,0
C4M2_2,2,C4M2,13.407,9,14.746,14,27.476,14,138.969,24,7.749,10,8.257,15,0,0
C4M3_1,1,C4M3,22.489,15,91.486,10,31.704,24,17.489,15,9.521,17,6.234,10,0,0
C4M3_2,2,C4M3,20.608,16,23.505,18,46.004,24,42.462,23,9.766,16,4.745,10,0,0
C5F1_1,1,C5F1,29.748,9,16.494,6,32.231,13,11.753,10,7.503,7,5.995,8,0,0
C5F1_2,2,C5F1,39.746,7,58.497,23,32.98,9,101.459,26,4.26,3,5.15,7,0,0
C5F2_1,1,C5F2,20.748,3,0,0,5.742,5,0,0,5.248,4,0,0,0,0
C5F2_2,2,C5F2,15.993,2,51.743,4,10.993,4,14.246,8,5.76,4,6.998,8,0,0
C5F3_1,1,C5F3,5.499,1,21.504,5,2.495,3,14.238,11,2.503,3,10.24,11,0,0
