obs_id,sex,length_obs_s,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb,bin,tank,time,fish_ID,cue
C01V1,female,66.16,NA,NA,NA,12.747,0,5.992,1.496,13.118,7.999,33.989,2.75,0,0,ST2C9,after,ST2C9F,control
C01V1,female,57.83,NA,NA,NA,0,0,23.226,0,17.533,0,15.661,0,0,1,ST2C9,after,ST2C9F,control
C01V1,female,57.83,NA,NA,NA,0,0,14.991,3.747,15.238,5.743,13.974,3.253,0,2,ST2C9,after,ST2C9F,control
C01V1,female,66.09,NA,NA,NA,0,0,27.325,0,12.855,0,22.736,2.498,0,3,ST2C9,after,ST2C9F,control
C01V1,female,57.83,NA,NA,NA,0,0,8.248,0,12.486,0,28.243,7.928,0,4,ST2C9,after,ST2C9F,control
C01V1,female,57.83,NA,NA,NA,0,0,3.752,19.743,4.471,9.498,15.492,4.001,0,5,ST2C9,after,ST2C9F,control
C01V1,female,57.83,NA,NA,NA,0,0,1.745,0,12.481,0,40.435,2.496,0,6,ST2C9,after,ST2C9F,control
C01V1,female,66.09,NA,NA,NA,4.753,0,6.427,0,11.738,0,46.246,0,0,7,ST2C9,after,ST2C9F,control
C01V1,female,57.83,NA,NA,NA,1.249,0,13.74,0,11.994,0,31.163,0,0,8,ST2C9,after,ST2C9F,control
C01V1,female,57.83,NA,NA,NA,0,0,28.92,0,15.499,0,8.245,3.497,0,9,ST2C9,after,ST2C9F,control
C01V1,female,2.64,NA,NA,NA,0,0,2.578,0,0,0,0,0,0,10,ST2C9,after,ST2C9F,control
C01V1,male,66.16,8.246,6,0,0,0,18.901,2.248,17.99,1.248,23.493,1.248,0,0,ST2C9,after,ST2C9M,control
C01V1,male,57.83,8.51,3,5.745,0,0,24.995,3.003,16.295,0.498,10.362,2.247,0,1,ST2C9,after,ST2C9M,control
C01V1,male,57.83,6.002,5,1.497,0,0,26.73,8.744,10.49,4,6.996,0,0,2,ST2C9,after,ST2C9M,control
C01V1,male,66.09,21.001,10,0.999,0,0,31.919,1.499,13.486,0,18.744,0,0,3,ST2C9,after,ST2C9M,control
C01V1,male,57.83,10.241,6,2.5,0,0,9.745,0,16.739,0,25.847,4.403,0,4,ST2C9,after,ST2C9M,control
C01V1,male,57.83,0.75,1,0,0,0,16.289,26.166,5.083,5.35,1.881,1.982,0,5,ST2C9,after,ST2C9M,control
C01V1,male,57.83,13.498,7,3.741,0,0,5.004,0,4.992,0,44.914,1.752,0,6,ST2C9,after,ST2C9M,control
C01V1,male,66.09,9.353,5,1.701,0,0,9.656,0.751,12.499,1.495,40.738,0.502,0,7,ST2C9,after,ST2C9M,control
C01V1,male,57.83,13.497,6,10.673,0,0,15.999,2.498,10.654,0.249,26.299,0,0,8,ST2C9,after,ST2C9M,control
C01V1,male,57.83,4.501,4,6.755,0,0,28.668,0,16.227,0,11.746,0,0,9,ST2C9,after,ST2C9M,control
C01V1,male,2.64,1.112,1,0,0,0,2.23,0,0,0,0,0,0,10,ST2C9,after,ST2C9M,control
C01V2,female,66.16,NA,NA,NA,2.003,0,12.551,21.992,15.309,1.002,13.997,0,0,0,ST2C9,before,ST2C9F,control
C01V2,female,57.83,NA,NA,NA,1.247,0,21.419,3.244,7.755,0,24.494,0,0,1,ST2C9,before,ST2C9F,control
C01V2,female,57.83,NA,NA,NA,0,0,52.936,0,1,0,3.653,0,0,2,ST2C9,before,ST2C9F,control
C01V2,female,66.09,NA,NA,NA,0,0,35.969,25.15,2.249,2.248,0,0,0,3,ST2C9,before,ST2C9F,control
C01V2,female,57.83,NA,NA,NA,13.692,0,23.899,0,5.995,0,21.745,5.943,0,4,ST2C9,before,ST2C9F,control
C01V2,female,57.83,NA,NA,NA,1,0,4.501,19.498,0,13.658,0,19.491,0,5,ST2C9,before,ST2C9F,control
C01V2,female,57.83,NA,NA,NA,0.997,0,0,9.246,0,31.669,0,15.734,0,6,ST2C9,before,ST2C9F,control
C01V2,female,66.09,NA,NA,NA,0,0,0,30.51,0,23.111,0,12.138,0,7,ST2C9,before,ST2C9F,control
C01V2,female,57.83,NA,NA,NA,2,0,2.997,27.736,0,15.169,0,9.005,0,8,ST2C9,before,ST2C9F,control
C01V2,female,57.83,NA,NA,NA,1.502,0,0,14.988,4.496,13.983,10.22,13,0,9,ST2C9,before,ST2C9F,control
C01V2,female,2.38,NA,NA,NA,0,0,0,0,0,0,2.093,0,0,10,ST2C9,before,ST2C9F,control
C01V2,male,66.16,0,0,0.251,0,0,29.968,33.494,1.5,0,0,0,0,0,ST2C9,before,ST2C9M,control
C01V2,male,57.83,0,0,0,0,0,45.918,6.003,2.248,0,3.247,0,0,1,ST2C9,before,ST2C9M,control
C01V2,male,57.83,0,0,0,0,0,57.074,0.498,0,0,0,0,0,2,ST2C9,before,ST2C9M,control
C01V2,male,66.09,0,0,1.249,0,0,51.222,11.997,1.747,0,0,0,0,3,ST2C9,before,ST2C9M,control
C01V2,male,57.83,6.243,2,4.497,10.744,0,28.154,0,6.745,0,22.661,0,0,4,ST2C9,before,ST2C9M,control
C01V2,male,57.83,3.748,3,0,0,0,20.748,24.247,1.748,2.214,0,6.502,0,5,ST2C9,before,ST2C9M,control
C01V2,male,57.83,3.999,1,7.004,13,0,0,0.965,0,24.249,22.996,9.146,0,6,ST2C9,before,ST2C9M,control
C01V2,male,66.09,1.743,2,4.498,8.503,0,1.963,24.249,0.497,6.001,26.999,5.239,0,7,ST2C9,before,ST2C9M,control
C01V2,male,57.83,0.749,1,2.002,3.419,0,12.673,14.746,6.99,6.244,8.745,7.251,0,8,ST2C9,before,ST2C9M,control
C01V2,male,57.83,3.494,5,2.748,0,0,5.9,2.502,13.496,3.495,26.067,5.996,0,9,ST2C9,before,ST2C9M,control
C01V2,male,2.38,0,0,1.616,0,0,0,0,0,0,2.02,0,0,10,ST2C9,before,ST2C9M,control
C02V1,female,66.73,NA,NA,NA,0,0,2.001,22.993,6.745,10.396,12.114,12.006,0,0,ST2C14,before,ST2C14F,control
C02V1,female,58.33,NA,NA,NA,1.75,0,26.499,4.998,4.401,2.566,17.497,1.748,0,1,ST2C14,before,ST2C14F,control
C02V1,female,58.33,NA,NA,NA,5.251,0,30.998,0.749,4.913,2.997,17.005,0.749,0,2,ST2C14,before,ST2C14F,control
C02V1,female,58.33,NA,NA,NA,1.499,0,18.002,0,9.99,1.001,26.214,2.25,0,3,ST2C14,before,ST2C14F,control
C02V1,female,58.33,NA,NA,NA,0,0,0,18.997,0,18.652,3.404,16.999,0,4,ST2C14,before,ST2C14F,control
C02V1,female,66.67,NA,NA,NA,0,0,12.499,7.498,8.117,13.394,12.496,12.249,0,5,ST2C14,before,ST2C14F,control
C02V1,female,58.33,NA,NA,NA,0,0,7.299,5.75,3.559,10.482,3.253,26.747,0,6,ST2C14,before,ST2C14F,control
C02V1,female,58.33,NA,NA,NA,0,0,22.001,2.496,6.496,3.253,17.911,5.744,0,7,ST2C14,before,ST2C14F,control
C02V1,female,58.33,NA,NA,NA,2.25,2.247,4.749,7.497,6.998,3.499,12.713,21.994,0,8,ST2C14,before,ST2C14F,control
C02V1,female,58.33,NA,NA,NA,0,0,19.246,0.998,19.959,3.998,6.496,6.748,0,9,ST2C14,before,ST2C14F,control
C02V1,female,25.03,NA,NA,NA,0,0,0,4.752,0,5.489,0,14.367,0,10,ST2C14,before,ST2C14F,control
C02V1,male,66.73,0,0,8.242,0,0,1.252,33.241,4.75,8.489,0.756,1.25,0,0,ST2C14,before,ST2C14M,control
C02V1,male,58.33,0.998,1,13.47,0,0,22.493,8.501,3.414,2.501,16.653,4.498,0,1,ST2C14,before,ST2C14M,control
C02V1,male,58.33,0,0,17.511,3.001,0,31.856,0,9.318,1.902,15.003,0,0,2,ST2C14,before,ST2C14M,control
C02V1,male,58.33,3.245,3,24.72,0,0,18.002,0,12.14,2.004,24.406,1.498,0,3,ST2C14,before,ST2C14M,control
C02V1,male,58.33,3.249,2,31.182,0,0,0,14.5,0,15.918,3.252,23.497,0,4,ST2C14,before,ST2C14M,control
C02V1,male,66.67,4.745,5,16.24,0,0,8.747,7.248,14.122,12.9,8.746,14.495,0,5,ST2C14,before,ST2C14M,control
C02V1,male,58.33,4.749,4,14.25,0,0,5.919,1.499,4.501,11.492,2.995,30.996,0,6,ST2C14,before,ST2C14M,control
C02V1,male,58.33,0.25,1,16.502,0,0,17.999,6.498,6.938,5.006,14.503,6.743,0,7,ST2C14,before,ST2C14M,control
