fish_ID,sex,time,cue,tank,length_obs_s,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb
ST2AC10F,female,before,alarm,ST2AC10,297.40999999999997,NA,NA,NA,23.498,0,39.49,33.246,32.658,7.161,105.518,77.815,0
ST2AC10M,male,before,alarm,ST2AC10,297.40999999999997,9.504,5,33.755,0,0,16.151,9.293999999999999,26.246000000000002,5.493,179.91500000000002,58.316,0
ST2AC11F,female,before,alarm,ST2AC11,299.99,NA,NA,NA,159.52100000000002,0,29.238999999999997,0,11.001999999999999,0,216.832,41.222,0
ST2AC11M,male,before,alarm,ST2AC11,299.99,55.738,21,52.54,0,0,96.106,5.747999999999999,40.092,9.499,105.488,41.571,0
ST2AC13F,female,before,alarm,ST2AC13,295.47,NA,NA,NA,45.619,0,1.499,3.748,24.745,25.857999999999997,160.851,76.67,0
ST2AC13M,male,before,alarm,ST2AC13,295.47,21.738,6,129.141,8.501000000000001,0,3.751,5.248,25.397,20.714,138.909,99.304,0
ST2AC14F,female,before,alarm,ST2AC14,300.90999999999997,NA,NA,NA,46.359,0,96.385,25.141,25.107,4.746,19.742,69.51,0
ST2AC14M,male,before,alarm,ST2AC14,300.90999999999997,39.253,11,71.926,0,0,94.886,36.766,48.227,29.91,64.093,23.994,1
ST2AC15F,female,before,alarm,ST2AC15,300.09000000000003,NA,NA,NA,10.259,0,89.259,12.488000000000001,70.858,13.66,94.527,17.589,0
ST2AC15M,male,before,alarm,ST2AC15,300.09000000000003,0,0,15.746,7.5,0,154.809,60.857,33.484,8.498,38.741,1.999,0
ST2AC16F,female,before,alarm,ST2AC16,299.99,NA,NA,NA,4.75,0,56.212,0,104.9,0,133.686,2.747,0
ST2AC16M,male,before,alarm,ST2AC16,299.99,7.755,5,68.38,1.745,0,51.238,0,112.24,0,132.435,0,0
ST2AC1F,female,before,alarm,ST2AC1,299.99,NA,NA,NA,3.496,4.239,70.80799999999999,81.676,37.394,22.490000000000002,34.068,52.139,0
ST2AC1M,male,before,alarm,ST2AC1,299.99,16.244999999999997,6,145.134,0.75,0,54.439,32.242,64.434,38.803,46.241,62.127,0
ST2AC2F,female,before,alarm,ST2AC2,299.99,NA,NA,NA,10.005,0,9.149,88.7,3,110.295,8.747,78.593,0
ST2AC2M,male,before,alarm,ST2AC2,299.99,1.319,2,125.71,0,0,1.749,122.634,4.996,102.675,3.5020000000000002,62.556,1
ST2AC3F,female,before,alarm,ST2AC3,299.99,NA,NA,NA,39.17,0,75.082,5.503,67.05799999999999,3.4939999999999998,136.263,10.995000000000001,0
ST2AC3M,male,before,alarm,ST2AC3,299.99,24.499000000000002,10,158.037,0,0,68.114,24.262,63.08,12.239,119.752,9.995,2
ST2AC4F,female,before,alarm,ST2AC4,299.99,NA,NA,NA,130.542,0,44.917,12.501999999999999,9.997,4.5,68.195,158.025,0
ST2AC4M,male,before,alarm,ST2AC4,299.99,17.244,6,5.5,44.643,0,4.998,106.656,0,60.737,2.751,123.184,0
ST2AC5F,female,before,alarm,ST2AC5,299.99,NA,NA,NA,22.5,0,2.75,0.75,37.19,33.249,98.877,125.35900000000001,1
ST2AC5M,male,before,alarm,ST2AC5,299.99,4.2490000000000006,5,75.102,3.002,0,5.745,3.401,33.36,43.681999999999995,94.806,116.831,0
ST2AC6F,female,before,alarm,ST2AC6,300.65,NA,NA,NA,33.248,0,77.542,45.132,20.976,34.813,68.107,51.744,0
ST2AC6M,male,before,alarm,ST2AC6,300.65,40.846000000000004,9,90.587,0.749,0,71.795,88.051,11.734,49.915,40.767,36.256,3
ST2AC7F,female,before,alarm,ST2AC7,297.40999999999997,NA,NA,NA,6.492,0,59.95,85.999,46.64,6.13,78.775,17.396,0
ST2AC7M,male,before,alarm,ST2AC7,297.40999999999997,0,0,3.251,0,0,79.988,115.086,14.418,23.488,24.902,36.494,0
ST2AC8F,female,before,alarm,ST2AC8,296.48,NA,NA,NA,9.91,0,80.212,37.145,63.663999999999994,2.248,83.187,28,0
ST2AC8M,male,before,alarm,ST2AC8,296.48,47.147,13,85.44500000000001,9.001,0,88.065,4.749,96.483,4.999,80.776,19.24,5
ST2AC9F,female,before,alarm,ST2AC9,297.40999999999997,NA,NA,NA,40.524,0,48.230999999999995,74.429,32.556,42.731,48.508,49.016999999999996,0
ST2AC9M,male,before,alarm,ST2AC9,297.40999999999997,3.743,4,49.269,0,0,53.656,120.968,34.318,21.742,41.862,22.331,0
