fish_ID,sex,time,cue,tank,length_obs_s,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb,bottom_s,subuse_s,subuse_prop,frozen_prop,matbehav_s
ST2AC10F,female,before,alarm,ST2AC10,115.66,NA,NA,NA,0,0,21.003,14.745,29.158,4.915,16.804000000000002,28.5,0,45.304,45.304,0.3916998097873077,0,NA
ST2AC10M,male,before,alarm,ST2AC10,115.66,5.252,3,18.75,0,0,8.249,9.294,9.248,2.746,42.851,42.491,0,85.342,85.342,0.7378696178454089,0,24.002
ST2AC11F,female,before,alarm,ST2AC11,116.66,NA,NA,NA,73.492,0,0,0,2.501,0,74.82,38.82,0,113.63999999999999,40.14799999999998,0.34414537973598475,0,NA
ST2AC11M,male,before,alarm,ST2AC11,116.66,28.658,8,28.735,0,0,8.491,0,14.249,0,56.82,36.575,0,93.39500000000001,93.39500000000001,0.8005743185324877,0,57.393
ST2AC14F,female,before,alarm,ST2AC14,117.02,NA,NA,NA,21.248,0,3.998,5.248,2.374,2.996,4.248,39.151,0,43.399,22.151,0.18929242864467613,0,NA
ST2AC14M,male,before,alarm,ST2AC14,117.02,21.498,5,25.36,0,0,7.74,4.496,23.486,17.668,44.609,17.249,0,61.858000000000004,61.858000000000004,0.5286104939326611,0,46.858000000000004
ST2AC15F,female,before,alarm,ST2AC15,116.7,NA,NA,NA,1.004,0,40.626999999999995,2.749,28.877,9.407,23.136,11.229,0,34.364999999999995,33.361,0.2858697514995715,0,NA
ST2AC15M,male,before,alarm,ST2AC15,116.7,0,0,1.748,0,0,85.412,27.613,2.998,0,0,0,0,0,0,0,0,1.748
ST2AC16F,female,before,alarm,ST2AC16,116.66,NA,NA,NA,0,0,18.996,0,36.235,0,58.121,2.747,0,60.868,60.868,0.521755528887365,0,NA
ST2AC16M,male,before,alarm,ST2AC16,116.66,3.751,2,15.764,1.745,0,16.546999999999997,0,35.102,0,64.445,0,0,64.445,62.699999999999996,0.5374592833876222,0,19.515
ST2AC1F,female,before,alarm,ST2AC1,116.66,NA,NA,NA,2.996,0.996,31.93,15.24,6.245,15.498,16.253,30.964,0,47.217,44.221,0.379058803360192,0.00853763072175553,NA
ST2AC1M,male,before,alarm,ST2AC1,116.66,14.247,4,50.924,0.75,0,6.25,5.993,15.957,17.494,23.496,46.713,0,70.209,69.459,0.5953968798217042,0,65.17099999999999
ST2AC2F,female,before,alarm,ST2AC2,116.66,NA,NA,NA,2.002,0,0,31.235,0,48.510000000000005,0,36.358,0,36.358,34.355999999999995,0.2944968283901937,0,NA
ST2AC2M,male,before,alarm,ST2AC2,116.66,0,0,60.842,0,0,0,43.485,0,48.197,0,24.228,0,24.228,24.228,0.20768043888222187,0,60.842
ST2AC3F,female,before,alarm,ST2AC3,116.66,NA,NA,NA,14.672,0,31.163000000000004,0,20.389000000000003,0,64.55199999999999,0,0,64.55199999999999,49.879999999999995,0.4275672895594034,0,NA
ST2AC3M,male,before,alarm,ST2AC3,116.66,9.004,4,66.911,0,0,32.961,4.501,21.23,0.75,54.895,0.995,1,55.89,55.89,0.479084519115378,0,75.915
ST2AC4F,female,before,alarm,ST2AC4,116.66,NA,NA,NA,11.75,0,37.921,11.504,6.747999999999999,2,40.724,17.247,0,57.971,46.221,0.39620264015086576,0,NA
ST2AC4M,male,before,alarm,ST2AC4,116.66,1.002,1,0,19.668,0,0,42.82,0,31.99,2.751,38.575,0,41.326,21.658,0.18565060860620608,0,1.002
ST2AC5F,female,before,alarm,ST2AC5,116.66,NA,NA,NA,0,0,1.25,0.75,24.018,10.996,69.884,8.997,1,78.881,78.881,0.6761614949425682,0,NA
ST2AC5M,male,before,alarm,ST2AC5,116.66,0,0,40.184,3.002,0,3.994,0.498,17.959,18.25,49.418000000000006,25.74,0,75.158,72.156,0.6185153437339277,0,40.184
ST2AC6F,female,before,alarm,ST2AC6,120.06,NA,NA,NA,5.75,0,25.497,28.015,1.747,27.450000000000003,11.494,25,0,36.494,30.744,0.256071964017991,0,NA
