obs_id,length_obs_s,sex,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb
C01V1000,66.160,male,8.246,6,0,0,0,18.901,2.248,17.990,1.248,23.493,1.248,0
C01V1001,57.830,male,8.510,3,5.745,0,0,24.995,3.003,16.295,0.498,10.362,2.247,0
C01V1002,57.830,male,6.002,5,1.497,0,0,26.730,8.744,10.490,4.000,6.996,0,0
C01V1003,66.090,male,21.001,10,0.999,0,0,31.919,1.499,13.486,0,18.744,0,0
C01V1004,57.830,male,10.241,6,2.500,0,0,9.745,0,16.739,0,25.847,4.403,0
C01V1005,57.830,male,0.750,1,0,0,0,16.289,26.166,5.083,5.350,1.881,1.982,0
C01V1006,57.830,male,13.498,7,3.741,0,0,5.004,0,4.992,0,44.914,1.752,0
C01V1007,66.090,male,9.353,5,1.701,0,0,9.656,0.751,12.499,1.495,40.738,0.502,0
C01V1008,57.830,male,13.497,6,10.673,0,0,15.999,2.498,10.654,0.249,26.299,0,0
C01V1009,57.830,male,4.501,4,6.755,0,0,28.668,0,16.227,0,11.746,0,0
C01V1010,2.640,male,1.112,1,0,0,0,2.230,0,0,0,0,0,0
C01V2000,66.160,male,0,0,0.251,0,0,29.968,33.494,1.500,0,0,0,0
C01V2001,57.830,male,0,0,0,0,0,45.918,6.003,2.248,0,3.247,0,0
C01V2002,57.830,male,0,0,0,0,0,57.074,0.498,0,0,0,0,0
C01V2003,66.090,male,0,0,1.249,0,0,51.222,11.997,1.747,0,0,0,0
C01V2004,57.830,male,6.243,2,4.497,10.744,0,28.154,0,6.745,0,22.661,0,0
C01V2005,57.830,male,3.748,3,0,0,0,20.748,24.247,1.748,2.214,0,6.502,0
C01V2006,57.830,male,3.999,1,7.004,13.000,0,0,0.965,0,24.249,22.996,9.146,0
C01V2007,66.090,male,1.743,2,4.498,8.503,0,1.963,24.249,0.497,6.001,26.999,5.239,0
C01V2008,57.830,male,0.749,1,2.002,3.419,0,12.673,14.746,6.990,6.244,8.745,7.251,0
C01V2009,57.830,male,3.494,5,2.748,0,0,5.900,2.502,13.496,3.495,26.067,5.996,0
C01V2010,2.380,male,0,0,1.616,0,0,0,0,0,0,2.020,0,0
C02V1000,66.730,male,0,0,8.242,0,0,1.252,33.241,4.750,8.489,0.756,1.250,0
C02V1001,58.330,male,0.998,1,13.470,0,0,22.493,8.501,3.414,2.501,16.653,4.498,0
C02V1002,58.330,male,0,0,17.511,3.001,0,31.856,0,9.318,1.902,15.003,0,0
C02V1003,58.330,male,3.245,3,24.720,0,0,18.002,0,12.140,2.004,24.406,1.498,0
C02V1004,58.330,male,3.249,2,31.182,0,0,0,14.500,0,15.918,3.252,23.497,0
C02V1005,66.670,male,4.745,5,16.240,0,0,8.747,7.248,14.122,12.900,8.746,14.495,0
C02V1006,58.330,male,4.749,4,14.250,0,0,5.919,1.499,4.501,11.492,2.995,30.996,0
C02V1007,58.330,male,0.250,1,16.502,0,0,17.999,6.498,6.938,5.006,14.503,6.743,0
C02V1008,58.330,male,4.500,3,31.670,0,10.002,3.249,8.745,11.247,4.746,4.919,23.752,1
C02V1009,58.330,male,1.751,1,52.424,0,0,19.998,1.252,16.458,5.745,7.898,6.497,0
C02V1010,25.030,male,0,0,23.368,0,0,0,4.499,0,6.496,0,12.218,0
C02V2000,66.730,male,13.494,6,22.750,0,0.750,0,17.902,6.502,15.243,0,26.599,0
C02V2001,47.370,male,0,0,20.746,0,0,1.750,18.964,0.999,13.136,0,12.255,0
C02V3000,66.730,male,0.253,1,12.863,0,0,8.748,35.012,5.247,11.992,0,5.247,0
